"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"192","00726B","國泰5Y+新興債","33.31","2021","376","","","","","","","","","","","","","","","","",""
"193",="6548","長科*","38.7","2021","374","36.9","29.5","22","67.5","101","8.41","24.7","6.88","1.73","148","43.4","17.8","0.12","64.3","84.1","22.24","62"
"194",="1314","中石化","9.88","2021","374","74.8","19.8","127","103","271","532","231","1.59","3.4","1,048","87.5","110","57.8","340","708","21.27","38"
"195",="2809","京城銀","33.55","2021","373","48.3","86","","","","1,048","36.4","","16.6","3,431","","","3.24","2,943","489","43.6","67"
"196","2881A","富邦特","62.1","","373","","","","","","","","","","","","","","","","",""
"197",="1717","長興","31.6","2021","372","42.5","207","107","250","370","48.2","164","2.61","5.33","605","195","125","11","359","247","19.54","43"
"198",="1227","佳格","40.6","2021","372","37.5","59.5","57","131","205","20.2","43.3","1.03","2.95","283","89.8","","2.73","98.1","185","19.86","49"
"199","00722B","群益15年IG電信債","37.53","","371","","","","","","","","","","","","","","","","",""
"200",="3714","富采","48.25","2021","364","123","145","56.9","272","346","90","243","49.4","3.43","769","158","40.1","6.34","223","546","76.7","53"
"201","00756B","群益15年EM主權債","32.33","","359","","","","","","","","","","","","","","","","",""
"202",="2059","川湖","368.5","2021","351","79.3","17.7","9.26","112","122","","24.5","0.03","0.63","154","16.8","4.52","0.44","28.3","126","132.25","82"
"203",="2707","晶華","272","2021","347","3.93","1.71","0.27","39.9","40.6","10.4","22.2","0.21","4.42","110","24.7","0.08","4.01","58.5","51.6","38.06","68"
"204","00740B","富邦全球投等債","38.65","2021","346","","","","","","","","","","","","","","","","",""
"205",="3576","聯合再生","21.1","2021","343","52.5","26.5","26.5","83","154","34.9","82.1","0.05","30.6","312","79.8","65.3","3.18","154","158","9.3","34"
"206",="6285","啟碁","86.6","2021","343","30.9","154","134","194","335","1.39","82.1","1.6","3.63","445","239","16.9","1.97","275","170","42.88","30"
"207",="8478","東哥遊艇","380.5","2021","338","7.54","6.44","28.3","16.1","49.4","","14.2","0.32","0.08","68.6","27.5","7.69","0.12","38.3","30.3","34.41","57"
"208",="6589","台康生技","111","2021","338","66.3","0.87","4.14","85.2","90.7","0.2","18.9","0.2","1.46","114","7.03","0.2","0","10.1","104","34.72","55"
"209",="3706","神達","28","2021","338","66.5","57.7","119","149","276","400","77.9","0.66","0.8","763","157","6.43","4.41","237","526","43.98","55"
"210",="2645","長榮航太","89.9","2021","337","60.1","16.5","18.6","81.3","101","26.5","71.5","0.39","0.12","224","35.2","69.1","1.8","127","97.3","27.58","47"
"211",="3005","神基","56.1","2021","337","57.9","76.3","75.9","134","216","22.3","88.5","6.53","9.41","358","116","26.5","0.42","159","200","30.49","55"
"212",="5434","崇越","184.5","2021","335","37.5","70.6","33.4","121","169","34.9","35.1","5.16","2.04","252","115","7.48","1.77","133","119","63.82","45"
"213","00792B","群益A級公司債","33.32","","333","","","","","","","","","","","","","","","","",""
"214",="9933","中鼎","41.2","2021","327","214","95.9","1.63","569","613","48","161","10.8","27.1","874","486","159","19.1","669","206","21.74","47"
"215",="2504","國產","27.65","2021","326","25.2","71.8","6.54","107","125","55.9","98.5","37.9","25.2","358","71.4","29.7","20.2","133","225","18.18","49"
"216",="00900","富邦特選高股息30","11.59","","326","","","","","","","","","","","","","","","","",""
"217",="2903","遠百","22.8","2021","323","195","22.5","24.4","237","264","241","338","24.3","38.6","1,307","480","176","12.5","909","398","22.04","51"
"218",="6412","群電","81.5","2021","322","7.09","122","90.9","135","231","6.56","51.1","0.83","4.69","300","186","","0.61","189","111","28.34","38"
"219",="2204","中華","58.2","2021","322","116","21.9","38.9","146","195","277","62.2","4.38","2.95","547","67.7","0.69","7.18","84.1","463","77.08","55"
"220",="00882","中信中國高股息","12.14","","320","","","","","","","","","","","","","","","","",""
"221",="4128","中天","62.5","2021","319","7.26","0.84","2.17","41.4","44.9","82.6","12.6","2.22","1.88","150","5.01","1.96","0.64","11.7","138","25.95","45"
"222",="4961","天鈺","171","2021","319","70.4","51.5","33.4","176","215","","6.65","2.47","17.4","243","67","","1.66","69.1","174","85.11","77"
"223",="6469","大樹","350","2021","315","13.1","5.15","18.4","18.5","37.4","0.03","7.5","0.21","0.97","73.9","28.1","0","0.62","54.4","19.5","27.32","53"
"224",="1304","台聚","26.3","2021","313","104","99","76","265","354","227","245","3.14","5.78","848","155","104","12.5","292","556","23.75","57"
"225",="2023","燁輝","15.7","2021","312","72.1","32.6","141","109","289","168","468","3.59","7.01","951","295","320","5.22","622","329","16.66","45"
"226",="2206","三陽工業","38.9","2021","310","48.3","30.3","68.7","78.6","221","84.3","126","0","20.4","465","167","91.7","16.8","297","168","19.45","45"
"227",="1808","潤隆","68.3","2021","308","21.8","6.09","272","34.3","355","7.55","2.37","0.14","26.5","393","244","81.8","","326","66.8","17.02","43"
"228",="6271","同欣電","191.5","2021","308","43.8","22.8","18.3","69.7","88.8","10.3","87.4","85","0.29","275","40.9","0.62","2.05","45.5","230","128.61","74"
"229",="6269","台郡","95.4","2021","308","79","88.6","52","269","327","0.83","146","0.14","5.43","483","143","68","0.36","226","257","73.11","51"
"230",="2451","創見","71.6","2021","307","20.2","17.3","57.7","108","168","34.9","19.4","","0.59","224","24","","0.47","26","198","46.23","64"
"231",="3592","瑞鼎","403.5","2021","306","68.8","62.4","21.4","135","169","4.01","4.44","3.36","10.3","192","86.3","4.18","11.1","102","90.3","132.32","62"
"232",="2441","超豐","53.7","2021","305","40.5","43.5","13.6","97.7","114","10.8","139","0.53","1.16","265","54.1","","2.51","56.8","208","36.62","79"
"233",="2101","南港","36.6","2021","305","32.4","19.5","136","54.1","235","51.8","83.2","0.02","1.07","373","179","73.4","0.81","261","112","13.49","26"
"234",="2458","義隆","100","2021","304","42.5","29.7","23.1","97.2","121","24.2","9.52","4.25","1.84","169","48.5","","4.34","59.6","110","37.75","81"
"235",="6670","復盛應用","231.5","2021","303","15.4","42.5","47.1","62.5","112","1.41","43.5","7.12","5.01","173","82.7","0.2","2.11","87.5","85.7","59.6","55"
"236",="1904","正隆","27.15","2021","301","70.8","84.8","86.4","156","259","33.4","339","","4.1","664","179","167","12.7","380","284","24.59","51"
"237","00749B","凱基新興債10+","31.36","2021","296","","","","","","","","","","","","","","","","",""
"238",="3707","漢磊","88.5","2021","295","24","16.2","14.6","44.2","60.1","4.39","26.9","0.47","0.66","98.8","24.6","2.08","3.22","35.1","63.7","13.53","49"
"239",="9907","統一實","18.55","2021","293","26.6","55","56.6","81.7","144","1.81","199","2.85","1.62","378","72","70.5","3.66","169","209","12.51","43"
"240",="2607","榮運","27.45","2021","293","36.5","19","0.52","114","117","38.4","242","1.44","1.26","418","37.4","55","10.3","141","277","25.9","53"
"241",="00893","國泰智能電動車","13.59","","292","","","","","","","","","","","","","","","","",""
"242",="1773","勝一","116","2021","290","3.02","17","14.5","20","37.2","12.6","56.2","0.07","0.43","109","28","11","0.4","41.6","67.8","33.92","57"
"243",="3374","精材","106.5","2021","289","21.1","10.4","2.75","35.6","38.8","","38.9","0.38","0.15","81.7","14","0","0","19.6","62.2","22.91","80"
"244",="6491","晶碩","412","2021","288","18.5","6.34","5.74","25.5","32.6","","49.2","0.14","2.02","85.6","27.8","1.42","0.01","30.6","55.1","78.37","75"
"245",="1409","新纖","17.75","2021","287","103","204","60.8","479","1,314","340","186","2.94","85.7","1,960","1,296","158","2.62","1,497","463","22.36","47"
"246",="3680","家登","338.5","2021","286","17.1","6.29","9.97","24","35.9","10.9","41.7","1.83","3.71","95","20.3","28.8","0.36","49.8","45.3","52.85","55"
"247",="2849","安泰銀","14.45","2021","283","37.1","38.1","","","","982","6.76","2.12","15.8","3,331","","","0.92","2,982","348","17.8","62"
"248",="3264","欣銓","57.7","2021","283","22.1","25.2","","62.7","68.3","3.75","169","5.68","1.26","263","41.7","67.2","2.45","123","140","29.55","66"
"249",="6533","晶心科","558","2021","283","40","1.55","0.01","44.5","45","","0.25","3.8","0.34","50.3","1.75","","","2.58","47.7","94.2","73"
"250",="9939","宏全","97.8","2021","281","49.5","37.2","29.9","86.8","129","0.47","172","3.48","16.4","335","78.1","109","1.29","194","142","46.77","51"
"251",="5425","台半","106.5","2021","281","27","30.1","24.4","58.7","88.7","","45","14.1","4.67","160","43","14.8","0.95","67.6","92.3","28.12","57"
"252",="3218","大學光","351","2021","281","5.34","5.46","1.16","15.9","17.8","","10","0.27","1.72","37.5","7.32","0.1","0.37","14.2","23.3","28.75","73"
"253",="6456","GIS-KY","82","2021","277","182","397","103","582","688","2.58","219","0.22","1.35","925","476","111","9.17","602","323","94.63","40"
"254",="2106","建大","30.4","2021","276","59.5","39.6","126","99.2","254","6.13","147","","32.8","463","119","138","6.89","276","187","20.6","38"
"255",="1440","南紡","16.6","2021","275","46.3","19.6","56.5","73.5","133","148","211","0.01","4.84","502","102","74.9","0.81","222","280","16.74","49"
