"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"301",="3596","智易","104","2021","229","79.7","77.9","125","158","285","3.88","37.6","1.15","1.16","339","205","0","1.36","210","129","58.46","40"
"302","00764B","群益25年美債","33.66","","228","","","","","","","","","","","","","","","","",""
"303",="2597","潤弘","123","2021","227","16.7","26.2","5.74","76","91.7","39.2","36.9","1.89","0.5","174","62.6","25","2.65","92","82.1","36.1","49"
"304",="2338","光罩","88.8","2021","227","26.8","13.5","4.04","78.3","84.1","18.1","40.9","4.97","6.91","162","61.1","43.1","1.23","113","48.7","23.82","55"
"305",="1909","榮成","17.1","2021","227","15.1","118","62.9","135","227","62.6","447","0.66","19.9","781","298","201","4.25","507","274","21.36","38"
"306",="9958","世紀鋼","97.6","2021","227","14.9","10.2","19.6","84.6","108","27.2","94","0.06","16.4","269","72.4","67.2","3.7","168","101","31.59","49"
"307",="5388","中磊","89.7","2021","226","54.7","74.4","142","132","279","1.17","43.9","4.3","8.07","344","208","50.3","0.91","262","82.4","32.68","36"
"308",="2457","飛宏","59.1","2021","222","35.9","22.7","32","60.8","96.8","2.19","32.6","0.31","0.73","136","61.3","14.6","0.96","77.8","58.4","15.58","32"
"309",="3006","晶豪科","77.4","2021","221","97.9","21.1","53.8","124","178","1.04","13","0.84","8.59","202","74.7","0","0.13","75.8","127","46.63","74"
"310",="5289","宜鼎","255.5","2021","221","21.4","15.6","16.6","43","60.7","1.29","16.2","0.47","0.88","82.3","18.6","1.4","0.01","22","60.3","72.11","68"
"311",="2231","為升","165","2021","221","23","17.7","13.6","45","61.6","2.95","18.8","7.97","2.63","95.7","37.6","11.2","0.21","49.1","46.6","28.92","57"
"312",="2351","順德","121","2021","220","7.02","25.6","40.9","33.2","75.8","0.2","49.5","0.43","1.21","130","35.5","23.8","1.76","65.1","65.3","33.97","43"
"313",="5534","長虹","74.7","2021","217","16.1","1.84","371","19.8","411","3.83","0.82","","1.94","417","234","0","0.37","235","183","62.35","51"
"314",="6515","穎崴","616","2021","213","15","8.74","3.5","25.2","28.9","","7.65","0.31","0.95","39.4","9.55","","0","10.1","29.3","86.38","73"
"315",="2108","南帝","43.2","2021","213","110","19.3","11.5","153","168","4.78","28.5","0.15","4.2","208","35.9","0.22","0.14","40","168","32.91","96"
"316",="2727","王品","275","2021","212","19.7","4.29","18.5","36.9","62.8","7.25","20.4","0.31","4.69","135","71.6","","1.96","101","33.7","37.62","40"
"317",="6282","康舒","40.2","2021","212","49.3","72.8","54.7","132","191","11.6","88.5","","2.32","307","143","37","2.26","202","105","19.14","40"
"318",="1785","光洋科","35.3","2021","211","31.5","21.5","94.7","67.7","169","7.53","71.6","0.39","1.87","254","41.6","84.4","0.89","130","124","20.47","43"
"319",="9940","信義","28.6","2021","211","95.5","14.6","95","115","214","24.6","35","0.6","4.71","329","85.3","71.9","15.2","204","126","16.88","55"
