"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"301",="3596","智易","104","2020","229","90.8","70.7","80.3","164","247","4.13","25.2","0.75","0.49","288","154","9.8","1.01","168","120","55.7","45"
"302","00764B","群益25年美債","33.66","2020","228","","","","","","","","","","","","","","","","",""
"303",="2597","潤弘","123","2020","227","8.84","12.6","4.25","48.2","56","22.8","36.9","2.52","0.44","120","43.7","16.5","2.75","63.4","57.1","31.47","45"
"304",="2338","光罩","88.8","2020","227","10.4","9.53","1.96","21.2","24.3","28.5","31.1","1.74","0.29","91","36.8","16.4","0.24","56.5","34.5","17.21","47"
"305",="1909","榮成","17.1","2020","227","13.8","107","37.1","121","186","58.1","432","0.53","37.8","737","256","219","4.34","483","254","19.84","36"
"306",="9958","世紀鋼","97.6","2020","227","15.2","11","9.9","55","67","9.63","63.1","0.02","12.7","173","40.8","15.6","4.16","83.4","90.1","31.87","53"
"307",="5388","中磊","89.7","2020","226","72.2","75.9","88","151","244","0.59","41.6","4.22","6.66","306","188","37.6","0.63","229","77.2","30.89","40"
"308",="2457","飛宏","59.1","2020","222","25.5","20.4","20.2","46.3","70","2.55","25.9","0.28","1.51","104","51.4","3.04","0.95","56.2","47.4","14.08","36"
"309",="3006","晶豪科","77.4","2020","221","36","17.3","59.7","58.3","118","1.16","7.77","1.12","0.79","130","47.6","","0.15","48.7","81.3","30.43","49"
"310",="5289","宜鼎","255.5","2020","221","22.6","8.84","7.92","35.4","43.9","1.43","13.7","0.29","0.21","62.2","11.4","0.18","0.01","13.5","48.7","59.22","68"
"311",="2231","為升","165","2020","221","11.9","14.3","9.97","32.4","47","2.98","16.6","4.91","2.28","75.3","27.4","11.8","0.23","39.6","35.7","25.07","49"
"312",="2351","順德","121","2020","220","7.64","19.4","28","27.6","57.1","0.17","44.2","0.53","0.42","106","25.7","14.2","1.75","45.6","60.1","31.18","38"
"313",="5534","長虹","74.7","2020","217","17.9","2.17","288","22","334","5.01","0.83","","0.73","341","156","0","0.44","156","184","62.9","57"
"314",="6515","穎崴","616","2020","213","6.8","5.41","4.17","12.2","16.5","","5.22","0.36","0.25","24.1","4.91","0.4","","6.35","17.7","57.95","73"
"315",="2108","南帝","43.2","2020","213","48.4","24.9","9.54","91.1","105","6.67","25.9","0.12","4.17","144","26.8","0.18","0.49","31.2","113","22.07","85"
"316",="2727","王品","275","2020","212","19.1","2.69","15.6","38.9","59.3","7.18","19.2","0.42","6.96","133","61.7","","1.74","91.9","41","45.85","47"
"317",="6282","康舒","40.2","2020","212","44.8","58.1","29.8","150","184","6.31","64.9","","2.89","270","131","11.9","2.11","163","106","19.27","47"
"318",="1785","光洋科","35.3","2020","211","21.6","18.7","78.9","49.5","131","7.37","66.3","0.28","1.64","213","24.8","98.8","0.95","128","85.1","16.49","40"
"319",="9940","信義","28.6","2020","211","63.8","14","114","85.2","203","25.6","35.1","0.95","1.34","319","77.6","83.7","11.2","202","117","15.65","51"
"320",="8996","高力","232.5","2020","208","5.41","3.8","5.99","10.1","16.3","1.77","16.3","","0.11","34.8","9.97","5.01","0.24","15.5","19.2","21.5","47"
"321",="6214","精誠","76.2","2020","208","35.9","40.1","31.7","108","156","34.1","21","1.31","4.23","220","78.4","1","2.67","83.8","136","54.48","53"
"322",="2867","三商壽","5.05","2020","207","1,462","91.4","","","","10,456","84.2","1.16","1,218","13,388","","","28.7","12,967","421","16.83","39"
"323",="3010","華立","87","2020","205","30.5","178","42.9","212","279","54.6","37.9","3.17","2.81","388","177","41.1","3.16","238","149","55.65","36"
"324",="00891","中信關鍵半導體","13.3","","204","","","","","","","","","","","","","","","","",""
"325",="3016","嘉晶","70.7","2020","204","13.7","10.1","7.96","23.8","33.1","1.75","20.6","0.55","0.66","59.7","11","4.14","1.03","19.2","40.5","14.47","47"
"326",="1789","神隆","25.75","2020","204","40.5","4.64","12.5","45.2","59.2","3.08","42.1","0.09","1.7","118","6.87","","0.81","13.2","105","13.32","64"
"327",="2208","台船","21.65","2020","202","12.4","12.4","23.5","72.8","195","12.7","113","0.21","0.56","372","206","58.6","11.9","322","50.1","10.59","28"
"328",="2540","愛山林","75.8","2020","202","4.88","12.4","96.5","20.7","130","5.1","8.71","0","1.56","158","79.6","20.9","0.58","105","52.7","35.95","49"
"329",="8422","可寧衛","185","2020","201","10.7","4.65","0.02","19.6","20.5","10.7","33.2","","2.64","71.4","6.64","0.79","0.33","13.8","57.5","52.49","94"
"330","2891B","中信金乙特","60.2","","201","","","","","","","","","","","","","","","","",""
"331",="2392","正崴","39.1","2020","200","110","172","133","347","493","66.9","209","16.5","16","823","303","189","19.3","522","301","49.01","40"
"332",="1736","喬山","65.6","2020","199","32.9","74.3","79.5","108","196","0.59","40","28.6","12.2","312","158","32.4","2.95","209","103","30.89","45"
"333",="1231","聯華食","88.3","2020","198","3.32","17.9","12.6","23.5","39.8","5.36","41.6","0.04","0.05","88.2","24.4","21.5","1.11","47.6","40.7","22.07","43"
"334",="1536","和大","70.8","2020","198","7.96","23.5","19","33.5","54.1","3.88","115","0.07","6.26","184","64.3","50.4","1.63","119","64.1","24.96","38"
"335",="6643","M31","622","2020","197","5.28","2.55","","14.5","15.2","0.28","1.75","0.08","0.13","17.6","2.47","0","","2.48","15.1","48.51","89"
"336",="6691","洋基工程","290","2020","197","15.2","7.3","0.26","42.7","45.4","0","3.61","0.05","0.55","50.3","27","0.96","0","28.9","21.4","52.09","55"
"337",="2820","華票","14.65","2020","197","2.65","7.83","","","","2,167","1.53","","0.47","2,183","","","2.46","1,928","254","18.95","57"
"338",="1313","聯成","14.55","2020","196","36.2","41.9","58.7","90.3","167","90.3","157","0.16","3.99","442","59.2","126","4.25","192","250","19.31","40"
"339","2881C","富邦金丙特","58.9","","196","","","","","","","","","","","","","","","","",""
"340",="9937","全國","63.3","2020","196","8.88","0.91","2.67","9.79","13.2","18.9","57.8","0.8","7.42","123","43","5.66","0.9","70.2","52.3","16.86","45"
"341",="2328","廣宇","37.7","2020","195","75.4","54.4","19.7","130","152","34.1","16.7","0.37","0.19","207","74.5","","0.23","78.9","128","21.54","47"
"342",="2501","國建","16.85","2020","195","34","5.34","290","63.7","366","104","52","0.33","16.6","595","232","55.1","2.59","341","254","21.09","43"
"343",="6443","元晶","38.75","2020","195","16.3","7.9","8.07","24.8","34.5","3.08","49.5","0.01","4.77","94.2","21.1","25.2","0.02","46.4","47.8","10.67","36"
"344",="2104","國際中橡","19.7","2020","194","76","38.9","22.2","148","245","60.9","175","3.56","7.75","502","132","0.37","2.22","164","338","30.79","53"
"345",="8131","福懋科","43.4","2020","192","20.1","16.3","6.13","71.2","78.2","7.23","44.6","","0.89","136","12.4","","0.87","17.9","118","26.72","68"
"346",="2312","金寶","12.85","2020","192","71.3","292","203","384","609","95.8","231","9.59","6.14","993","585","121","12.6","743","250","11.02","32"
"347",="6803","崑鼎","271","2020","192","5.34","8.71","0.75","35.6","37.4","4.83","34.8","1.36","19.4","98.9","22.6","11.5","5.86","42.4","56.5","75.06","57"
"348",="2362","藍天","30.3","2020","192","49.2","22.5","37.1","95.9","142","671","47.1","0.31","30.3","943","178","231","11.7","544","399","67","38"
"349",="4105","東洋","77","2020","191","22.2","10.5","11.1","33.4","48","15.9","25.8","1.33","1.98","93.6","25.5","4.12","0.5","32.8","60.8","21.92","68"
"350",="6732","昇佳電子","390","2020","191","30.9","4.62","3.2","53.3","57.2","1.1","2.39","0.94","0.33","62.1","15","","1.55","16.7","45.5","92.98","87"
"351",="2247","汎德永業","236","2020","190","32.6","13.2","39.5","45.8","104","1.14","49.7","0.08","1.33","185","42.7","","1.48","71.9","114","140.71","53"
"352",="4763","材料-KY","306.5","2020","189","8.31","6.97","2.2","15.3","19.1","1.28","8.98","","0.82","31.1","9.16","5.75","","15","16.1","29.79","72"
