"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"1",="2330","台積電","518","2020","134,330","6,602","1,461","1,374","9,376","10,922","277","15556","258","57.5","27,607","6,172","2,561","146","9,101","18,506","71.33","89"
"2",="2317","鴻海","103.5","2020","14,348","12,328","10,060","5,821","22,839","28,846","3,758","2871","448","157","36,743","19,163","2,333","110","22,001","14,741","93.59","38"
"3",="2454","聯發科","773","2020","12,365","1,966","408","377","2,509","2,919","1,178","390","763","4.11","5,339","1,438","0","66.9","1,588","3,751","234.97","68"
"4",="2412","中華電","118","2020","9,154","304","229","124","586","818","244","2814","903","119","5,064","714","273","101","1,171","3,893","48.72","66"
"5",="6505","台塑化","81.7","2020","7,783","430","470","470","1,561","2,153","435","993","","122","3,809","289","292","48.3","683","3,126","32.34","49"
"6",="2308","台達電","286.5","2020","7,442","587","648","449","1,274","1,749","56.7","684","755","19.4","3,364","940","393","76.3","1,578","1,786","56.17","57"
"7",="2881","富邦金","55.5","2020","6,879","2,746","2,054","","","","61,360","581","332","558","92,445","","","516","84,677","7,768","66.33","57"
"8",="2303","聯電","53.2","2020","6,653","940","289","226","1,245","1,643","566","1328","48.8","44","3,775","782","252","316","1,417","2,358","19","62"
"9",="1303","南亞","76.5","2020","6,067","560","631","412","1,633","2,088","1,817","1735","21.3","129","5,847","1,199","679","222","2,281","3,566","43.45","43"
"10",="2882","國泰金","41","2020","6,014","5,367","1,919","","","","76,526","984","540","661","109,505","","","395","100,457","9,048","60.74","57"
"11",="1301","台塑","90.7","2020","5,774","141","234","167","1,436","1,656","2,126","868","5.9","96.3","4,793","683","396","211","1,467","3,325","52.24","45"
"12",="2002","中鋼","31.45","2020","4,949","161","151","762","525","1,413","793","3843","16.5","68.4","6,361","1,353","1,410","104","3,130","3,231","18.98","38"
"13",="3711","日月光投控","109.5","2020","4,774","515","955","621","1,562","2,241","294","2344","798","17.9","5,837","1,719","1,574","81.8","3,494","2,343","51.1","45"
"14",="2886","兆豐金","31.75","2020","4,426","1,194","900","","","","13,364","220","9.61","91.8","38,564","","","102","35,298","3,266","24.01","71"
"15",="2891","中信金","20.85","2020","4,083","1,421","1,793","","","","32,516","493","246","444","66,167","","","251","62,114","4,053","20.26","62"
"16",="1326","台化","68.5","2020","4,015","171","403","330","1,719","2,159","1,759","1273","0.03","91.2","5,318","735","563","54.7","1,364","3,955","58.87","45"
"17",="1216","統一","68.7","2020","3,904","820","213","389","1,212","1,681","806","1270","187","97.9","4,953","1,623","579","164","3,147","1,806","20.14","55"
