"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"301",="3596","智易","104","2022","229","75.8","111","146","187","335","3.98","49.1","0.93","0.95","400","258","","1.09","261","139","62.66","43"
"302","00764B","群益25年美債","33.66","","228","","","","","","","","","","","","","","","","",""
"303",="2597","潤弘","123","2022","227","23.8","23.6","7.2","104","121","49.7","38","2.08","1.95","223","112","18","3.67","143","80.8","35.32","51"
"304",="2338","光罩","88.8","2022","227","17.5","15.2","3.83","51.5","59","37","58.8","4.97","13.5","179","69.8","57.8","0.54","135","44.3","22.16","43"
"305",="1909","榮成","17.1","2022","227","19","86.6","46.4","106","173","48.3","464","0.48","16.1","726","225","255","3.78","485","241","18.14","28"
"306",="9958","世紀鋼","97.6","","227","","","","","","","","","","","","","","","","",""
"307",="5388","中磊","89.7","2022","226","80.2","115","168","198","374","1.3","49.3","4.79","3.29","443","267","72.3","0.81","345","98","38.31","40"
"308",="2457","飛宏","59.1","2022","222","29.9","27.3","33","62.6","98.4","2.35","39.9","0.41","0.75","146","61.9","20.3","0.6","83.7","62.2","16.59","40"
"309",="3006","晶豪科","77.4","2022","221","47.6","10.5","83.7","60.2","151","1.33","20.5","0.51","21.5","197","74.9","6.43","0.15","82.9","114","42.26","40"
"310",="5289","宜鼎","255.5","2022","221","40","14.3","11.6","54.3","66.5","1.71","21.4","0.44","0.06","93","16.9","3.1","0.02","21.8","71.2","81.02","72"
"311",="2231","為升","165","","221","","","","","","","","","","","","","","","","",""
"312",="2351","順德","121","2022","220","10.6","21.4","38.7","32.6","72.6","0.21","51.9","0.57","0.64","129","33.9","20","1.55","59.4","69.9","36.39","45"
"313",="5534","長虹","74.7","2022","217","13.5","2.36","424","18.4","461","0.62","0.81","","2.53","465","266","0","0.5","266","199","67.93","62"
"314",="6515","穎崴","616","2022","213","15","16.1","7.7","31.5","39.6","","13.7","0.33","1.64","57","19.5","","0.06","20","37","107","73"
