"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"1",="2330","台積電","518","2022","134,330","13,428","2,314","2,211","17,929","20,529","689","26938","260","120","49,648","9,442","8,391","1,902","20,043","29,605","113.6","89"
"2",="2317","鴻海","103.5","2022","14,348","10,623","11,564","9,390","22,411","32,005","4,358","3624","467","274","41,340","21,138","3,010","116","24,834","16,505","104.65","36"
"3",="2454","聯發科","773","2022","12,365","1,475","567","707","2,215","2,977","1,256","539","735","374","6,084","1,416","0","38.8","1,653","4,431","276.51","77"
"4",="2412","中華電","118","2022","9,154","502","247","113","810","1,019","215","2915","792","127","5,232","657","398","142","1,294","3,938","49.14","66"
"5",="6505","台塑化","81.7","2022","7,783","365","712","864","1,587","2,672","396","928","","124","4,218","698","258","48.6","1,045","3,173","32.8","40"
"6",="2308","台達電","286.5","2022","7,442","615","897","798","1,574","2,405","46.2","863","772","36","4,259","1,250","443","95.1","2,005","2,254","71.91","51"
"7",="2881","富邦金","55.5","2022","6,879","3,166","2,432","","","","67,344","653","342","562","105,878","","","847","100,141","5,736","40.42","52"
"8",="2303","聯電","53.2","2022","6,653","1,738","388","311","2,178","2,524","649","1710","42.8","279","5,331","1,086","403","401","1,976","3,355","26.8","85"
"9",="1303","南亞","76.5","2022","6,067","894","578","530","1,843","2,432","1,880","2120","17.3","157","6,653","1,706","583","229","2,712","3,941","47.3","51"
"10",="2882","國泰金","41","2022","6,014","4,120","2,172","","","","83,038","1086","516","1,001","120,709","","","261","114,592","6,117","36.96","57"
"11",="1301","台塑","90.7","2022","5,774","171","278","224","1,334","1,608","2,290","1073","6.07","106","5,113","959","337","40.2","1,536","3,577","56.19","49"
"12",="2002","中鋼","31.45","2022","4,949","292","154","1,315","630","2,104","746","3702","13.4","66","6,838","1,664","1,293","68.3","3,269","3,568","20.97","38"
"13",="3711","日月光投控","109.5","2022","4,774","580","1,309","928","2,015","3,004","402","2682","728","80.3","7,071","2,223","1,378","119","3,871","3,199","70.15","51"
"14",="2886","兆豐金","31.75","2022","4,426","1,137","863","","","","13,100","216","13.2","61.4","40,610","","","143","37,612","2,998","21.51","67"
"15",="2891","中信金","20.85","2022","4,083","1,338","2,232","","","","34,127","490","393","469","77,205","","","240","73,277","3,928","18.4","52"
"16",="1326","台化","68.5","2022","4,015","330","370","484","1,685","2,247","1,719","1428","0.06","123","5,555","1,170","592","48.3","1,822","3,734","55.76","40"
"17",="1216","統一","68.7","2022","3,904","970","276","529","1,486","2,101","847","1259","167","111","5,514","1,881","688","124","3,592","1,922","22.12","53"
"18",="5871","中租-KY","230","2022","3,641","676","5,005","0","5,923","6,119","95.6","655","1.99","1,783","8,772","4,833","2,282","81.9","7,270","1,502","81.55","62"
"19",="5880","合庫金","25.35","2022","3,551","953","424","","","","13,835","331","41.6","29","44,762","","","12.3","42,554","2,208","15.38","67"
