"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"301",="3596","智易","104","2017","229","38.1","53.3","37.4","91.5","131","4.1","17.8","0.71","0.52","156","65","","0.95","66.6","89.2","44.96","38"
"302","00764B","群益25年美債","33.66","","228","","","","","","","","","","","","","","","","",""
"303",="2597","潤弘","123","2017","227","3.94","19.4","5.11","23.4","31.4","27.6","31.4","2.1","0.33","93.4","27","11.5","3.23","42","51.4","27.37","38"
"304",="2338","光罩","88.8","2017","227","6.37","4.98","3.44","11.8","16.2","3.27","9.89","0.38","1.05","31.1","5.56","0.25","0.35","6.31","24.8","12.3","40"
"305",="1909","榮成","17.1","2017","227","20.1","165","36.9","185","248","87.6","390","0.71","27.7","757","253","210","3.42","476","281","24.24","43"
"306",="9958","世紀鋼","97.6","2017","227","9.22","17.8","9.89","27","38.1","1.55","25.2","","1.94","67","10.5","28.8","0.16","39.4","27.6","12.47","38"
"307",="5388","中磊","89.7","2017","226","64.8","75.4","60.6","140","205","1.08","32.5","2.98","3.54","248","173","","1.76","175","72.3","29.52","43"
"308",="2457","飛宏","59.1","2017","222","17.6","21.6","15.6","42.6","69.1","2.32","29.2","0.28","1.67","103","36.2","11.4","1","49.4","53.8","15.95","40"
"309",="3006","晶豪科","77.4","2017","221","28.7","11.8","36.4","47.7","85","0.62","8.92","1.54","0.07","96.2","24.1","","0.18","24.5","71.7","26.72","51"
"310",="5289","宜鼎","255.5","2017","221","10.7","9.86","11.1","20.5","32.3","1.61","11.3","0.17","0.44","46.4","12.6","0","0.01","12.6","33.8","45.55","62"
"311",="2231","為升","165","2017","221","21.3","12.7","5.55","34","41.3","0.15","13.5","5.05","4.98","65.3","29","0.27","0.13","29.4","35.9","30.37","74"
"312",="2351","順德","121","2017","220","7.49","22.1","27.6","29.7","58.5","0.02","44.8","0.67","1.43","107","29.8","14.9","2.7","50.3","56.6","29.35","43"
"313",="5534","長虹","74.7","2017","217","10.2","27.1","241","37.4","289","6.73","0.86","","3.92","300","137","23.8","1.07","162","138","47.09","68"
"314",="6515","穎崴","616","2017","213","2.66","3.17","1.25","6.33","7.71","0.06","3.5","0.18","0.2","12","3.16","","0","3.16","8.81","","64"
"315",="2108","南帝","43.2","2017","213","19.8","14.6","9.03","42","55.9","2.48","25.8","0.14","3.37","88.2","12.2","","1.39","16.3","71.9","14.75","60"
"316",="2727","王品","275","2017","212","41.3","2.48","9.78","43.8","70.6","0.71","20.6","0.5","4.51","97.3","45.1","","1.25","47.5","49.8","47.68","57"
"317",="6282","康舒","40.2","2017","212","18.1","48.8","25.2","69.1","108","6.49","33.5","","3.56","153","65.4","0","2.83","72.5","80.5","14.92","40"
"318",="1785","光洋科","35.3","2017","211","7.14","16.5","54.8","23.7","103","6.06","70.8","0.39","5.2","191","66.2","76.3","1","145","45.8","11.35","36"
"319",="9940","信義","28.6","2017","211","39","9.18","117","58.4","208","25","33.9","1.04","1.34","270","66.3","83.9","4.94","155","114","17.34","57"
"320",="8996","高力","232.5","2017","208","12","4.07","4.45","16.9","21.5","1.24","12.5","","0.29","35.9","14.5","3.27","0.11","18","17.9","20.02","45"
"321",="6214","精誠","76.2","2017","208","37.1","34.9","29.1","108","148","22.4","19.4","0.51","2.59","194","67.7","","2.7","70.4","123","49.88","51"
"322",="2867","三商壽","5.05","2017","207","605","83.6","","","","9,084","","0.88","642","10,529","","","14.1","10,137","392","20.42","33"
"323",="3010","華立","87","2017","205","24.5","127","38.1","152","198","50.4","19.8","0.65","1.59","273","117","25.6","3.44","155","118","46.62","34"
"324",="00891","中信關鍵半導體","13.3","","204","","","","","","","","","","","","","","","","",""
"325",="3016","嘉晶","70.7","2017","204","13.2","9.63","3.9","22.8","28.3","1.15","17.3","0.69","0.31","48","11.4","0","1.04","12.8","35.2","13.23","49"
"326",="1789","神隆","25.75","2017","204","39.1","7.65","16.8","46.8","64.7","3.91","50.9","0.23","2.28","127","11.2","11","0.71","22.8","104","13.17","64"
"327",="2208","台船","21.65","2017","202","2.82","68.6","23.2","71.4","101","2.36","106","0.23","0.2","223","79.8","55","11","159","63.8","8.52","17"
"328",="2540","愛山林","75.8","2017","202","1.61","7.28","71.4","8.89","85.4","3.37","8.63","0","9.87","107","45","21","0.56","66.7","40.6","27.68","38"
"329",="8422","可寧衛","185","2017","201","10.2","5.13","0.02","28.7","29.2","2.31","26.8","","2.07","60.6","4.45","0","0.88","6.51","54.1","49.69","96"
"330","2891B","中信金乙特","60.2","2017","201","","","","","","","","","","","","","","","","",""
"331",="2392","正崴","39.1","2017","200","76.3","163","114","239","378","68.7","195","10","32.7","686","294","104","24.7","429","257","45.6","38"
"332",="1736","喬山","65.6","2017","199","33.9","74.7","48.7","109","165","","28.8","12","6.79","223","112","22.9","1.75","141","81.7","26.93","39"
"333",="1231","聯華食","88.3","2017","198","4.52","12.1","11.8","18","31.6","5.73","26.7","0.04","0.24","64.8","18.9","12.9","1.71","33.6","31.3","19.45","47"
"334",="1536","和大","70.8","2017","198","12.9","18.3","16.6","32.7","51.3","4.03","81","0.1","5.27","142","40.5","32.9","1.86","76","66.2","25.77","55"
"335",="6643","M31","622","2017","197","3.48","1.87","","5.35","6.29","0.06","1.44","0.05","0.01","7.91","2.1","","","2.11","5.8","20.25","82"
