"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"1",="2330","台積電","518","2017","134,330","5,534","1,225","739","7,718","8,572","416","10625","142","42.7","19,919","3,587","918","183","4,691","15,228","58.7","91"
"2",="2317","鴻海","103.5","2017","14,348","6,425","13,808","5,610","20,303","27,461","2,818","2782","95.5","765","34,072","20,255","1,885","89","22,354","11,718","62.57","38"
"3",="2454","聯發科","773","2017","12,365","1,453","381","265","2,083","2,387","390","369","760","6.37","3,952","1,273","3.36","32.5","1,340","2,612","165.1","62"
"4",="2412","中華電","118","2017","9,154","288","320","88.4","608","793","163","2887","549","91.2","4,511","600","16","144","775","3,736","47.04","70"
"5",="6505","台塑化","81.7","2017","7,783","441","895","584","1,981","2,662","417","1079","","112","4,315","651","144","76.3","874","3,441","35.83","64"
"6",="2308","台達電","286.5","2017","7,442","574","555","308","1,141","1,477","161","443","338","27.5","2,505","892","112","42.2","1,168","1,338","47.95","51"
"7",="2881","富邦金","55.5","2017","6,879","2,140","1,707","","","","43,816","573","283","561","69,195","","","305","64,307","4,888","45.08","62"
"8",="2303","聯電","53.2","2017","6,653","817","221","183","1,045","1,392","340","2057","37.9","53.2","3,941","881","533","370","1,801","2,140","17.45","51"
"9",="1303","南亞","76.5","2017","6,067","443","726","407","1,660","2,121","1,785","1329","27.4","120","5,441","797","585","279","1,769","3,672","44.84","49"
"10",="2882","國泰金","41","2017","6,014","2,454","1,692","","","","59,490","1651","558","505","88,415","","","286","82,330","6,085","44.72","48"
"11",="1301","台塑","90.7","2017","5,774","182","329","176","1,627","1,842","2,126","691","4.31","76.1","4,761","713","378","75.7","1,311","3,450","54.2","57"
"12",="2002","中鋼","31.45","2017","4,949","129","278","880","478","1,510","861","4138","19.4","87.1","6,677","1,443","1,687","96.8","3,358","3,320","19.67","36"
"13",="3711","日月光投控","109.5","2017","4,774","461","563","341","1,076","1,449","579","1352","113","105","3,639","1,056","441","51.5","1,599","2,040","","49"
"14",="2886","兆豐金","31.75","2017","4,426","1,439","961","","","","9,414","220","3.83","39.6","35,473","","","73.2","32,492","2,981","21.92","71"
"15",="2891","中信金","20.85","2017","4,083","1,541","1,537","","","","24,181","527","234","446","53,407","","","201","50,197","3,210","16.2","57"
"16",="1326","台化","68.5","2017","4,015","297","628","388","2,107","2,538","1,816","1253","0.01","96.9","5,723","824","638","72.9","1,538","4,185","61.31","55"
"17",="1216","統一","68.7","2017","3,904","547","677","320","1,291","1,749","566","1441","120","218","4,147","1,402","529","189","2,234","1,913","21.13","60"
"18",="5871","中租-KY","230","2017","3,641","190","2,180","0","2,435","2,515","36.2","101","0.64","586","3,276","2,129","518","48","2,714","562","42.45","55"
"19",="5880","合庫金","25.35","2017","3,551","648","344","","","","9,963","341","35.9","27.2","34,115","","","15.9","32,060","2,055","16.48","62"
"20",="3045","台灣大","99","2017","3,484","66.3","165","43.3","247","324","90.1","416","654","53.6","1,545","565","284","20.8","890","655","21.91","53"
"21",="2603","長榮","162","2017","3,429","381","147","37.2","528","610","341","977","1.6","64.4","2,001","448","734","135","1,334","667","15.8","47"
"22",="2892","第一金","25.8","2017","3,412","660","740","","","","7,001","273","4.44","43.3","26,341","","","59.4","24,420","1,921","15.7","67"
"23",="2884","玉山金","23.7","2017","3,383","551","941","","","","5,983","282","62.2","43.9","20,744","","","21.4","19,254","1,489","14.61","71"
"24",="2207","和泰車","595","2017","3,250","150","1,094","72.1","1,268","1,435","222","350","12.1","37.5","2,066","1,315","48.4","85.4","1,517","549","85.42","43"
"25",="2382","廣達","83.2","2017","3,214","1,988","1,732","1,353","3,899","5,627","14.9","422","7.48","19.1","6,134","4,734","0","9.08","4,746","1,388","34.36","38"
"26",="3008","大立光","2250","2017","3,003","679","155","25.8","854","881","1.61","249","0.84","22.9","1,159","234","","0.94","235","924","688.81","89"
"27",="2880","華南金","21.65","2017","2,954","590","452","","","","6,585","325","5.65","30","25,734","","","53.3","24,092","1,642","14.87","62"
"28",="2395","研華","363","2017","2,816","52","79.4","62.4","165","232","28.6","99.7","38.5","4.26","407","110","1.14","3.84","129","278","39.56","66"
"29",="2912","統一超","268","2017","2,786","358","333","134","706","884","113","250","107","31.8","1,399","656","11.1","90","804","595","48.69","64"
"30",="0050","元大台灣50","118.95","2017","2,741","","","","","","","","","","","","","","","","",""
"31",="2885","元大金","21.85","2017","2,732","640","1,753","","","","11,081","226","359","408","22,736","","","334","20,455","2,281","17.89","52"
"32",="3034","聯詠","434.5","2017","2,644","181","112","50.2","293","345","13.8","19.6","27.2","0.36","409","118","","1.47","123","286","46.95","60"
"33",="1101","台泥","36.4","2017","2,605","263","281","83.5","796","927","184","947","209","459","2,726","652","435","8.24","1,199","1,526","32.11","43"
"34",="4904","遠傳","70.8","2017","2,307","83.5","80.3","47.8","176","263","25.5","462","561","7.68","1,327","304","280","12.8","623","704","21.41","57"
"35",="2609","陽明","65.4","2017","2,284","128","83","27.7","214","269","159","810","1.06","49.1","1,329","443","497","105","1,064","265","11.21","38"
"36",="1590","亞德客-KY","1120","2017","2,240","20.2","54.6","39.6","74.9","119","","148","0.76","17.9","289","110","16","","129","160","84.39","64"
"37",="6488","環球晶","502","2017","2,185","188","78.7","73.5","267","351","3.69","282","39.4","7.74","702","223","36.6","82","362","341","77.86","55"
"38",="5876","上海商銀","44.7","2017","2,173","747","167","","","","4,708","213","1.2","28.5","17,335","","","27.7","15,705","1,630","30.09","76"
"39",="2327","國巨","496","2017","2,089","57.6","122","48.7","297","351","150","163","21.6","2.96","697","324","55","4.16","384","313","89.07","62"
