"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"1",="2330","台積電","518","2019","134,330","4,554","1,398","830","7,233","8,226","302","13524","207","38.3","22,648","5,907","251","115","6,427","16,221","62.53","89"
"2",="2317","鴻海","103.5","2019","14,348","8,579","11,243","5,158","20,380","25,737","3,370","2875","414","158","33,209","16,575","2,171","72.7","19,213","13,996","89.46","36"
"3",="2454","聯發科","773","2019","12,365","1,775","332","276","2,363","2,667","742","389","709","2.71","4,587","1,311","1.66","38.7","1,443","3,144","197.66","60"
"4",="2412","中華電","118","2019","9,154","340","264","173","649","941","236","2837","470","119","4,775","644","84.4","97.9","911","3,864","48.48","66"
"5",="6505","台塑化","81.7","2019","7,783","317","613","604","1,565","2,265","448","1022","","122","3,980","368","147","62.8","640","3,340","34.67","51"
"6",="2308","台達電","286.5","2019","7,442","440","585","393","1,050","1,476","51.8","636","824","21.8","3,110","857","277","77.8","1,367","1,744","53.96","51"
"7",="2881","富邦金","55.5","2019","6,879","3,321","1,971","","","","55,567","574","327","441","85,477","","","519","79,280","6,197","52.85","62"
"8",="2303","聯電","53.2","2019","6,653","955","264","217","1,228","1,538","413","1504","52","34.1","3,702","727","484","343","1,630","2,072","17.66","49"
"9",="1303","南亞","76.5","2019","6,067","436","522","416","1,416","1,875","1,886","1561","23.2","135","5,547","835","741","281","1,991","3,556","43.45","43"
"10",="2882","國泰金","41","2019","6,014","4,134","1,850","","","","70,214","1019","513","569","100,655","","","301","92,835","7,820","52.49","57"
"11",="1301","台塑","90.7","2019","5,774","182","293","183","1,539","1,756","2,239","856","4.23","76.3","4,971","893","345","71","1,479","3,492","54.85","51"
"12",="2002","中鋼","31.45","2019","4,949","170","145","997","514","1,646","810","3901","16.8","60","6,666","1,523","1,451","105","3,344","3,322","19.58","36"
"13",="3711","日月光投控","109.5","2019","4,774","601","802","453","1,504","2,020","280","2321","786","15.4","5,567","1,523","1,722","69.3","3,423","2,143","47.2","43"
"14",="2886","兆豐金","31.75","2019","4,426","1,462","993","","","","10,349","221","6.11","70","36,835","","","80.5","33,595","3,241","23.83","71"
"15",="2891","中信金","20.85","2019","4,083","1,372","1,927","","","","30,176","507","244","422","62,194","","","244","58,382","3,812","19.06","57"
"16",="1326","台化","68.5","2019","4,015","151","487","413","1,780","2,262","1,859","1247","0.01","96.6","5,505","871","462","67.3","1,413","4,093","60.95","49"
"17",="1216","統一","68.7","2019","3,904","747","212","376","1,170","1,628","688","1304","192","107","4,775","1,524","609","177","3,034","1,740","19.08","55"
"18",="5871","中租-KY","230","2019","3,641","187","3,222","","3,523","3,671","55.4","345","0.75","831","4,973","3,244","865","72.7","4,234","739","52.52","55"
"19",="5880","合庫金","25.35","2019","3,551","600","343","","","","11,412","338","37.1","37.7","37,395","","","17.4","35,126","2,269","17.1","62"
"20",="3045","台灣大","99","2019","3,484","86.6","92.4","56.7","230","299","97.1","362","591","50.9","1,539","445","245","21.3","797","742","24.2","53"
"21",="2603","長榮","162","2019","3,429","379","159","45.5","573","661","369","1084","19.3","96.4","3,066","634","1,122","33.7","2,330","736","14.55","34"
