"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"301",="3596","智易","104","2019","229","76.1","63.2","78.1","139","221","4.42","23.1","0.67","1.44","255","130","9.66","0.97","142","113","52.29","40"
"302","00764B","群益25年美債","33.66","2019","228","","","","","","","","","","","","","","","","",""
"303",="2597","潤弘","123","2019","227","13.2","14.8","4.41","43.1","50","22.9","33.3","2.42","0.53","111","38.7","16.5","2.54","58.5","52.8","28.57","47"
"304",="2338","光罩","88.8","2019","227","9.47","9.54","2.45","19.6","22.6","11.6","15.5","1.27","1.97","57.3","17.2","4.39","0.22","26","31.2","15.07","51"
"305",="1909","榮成","17.1","2019","227","23.5","106","30.5","130","189","38.9","427","0.63","17.8","695","281","185","4.09","475","221","17.83","38"
"306",="9958","世紀鋼","97.6","2019","227","13.5","7.54","10.3","29.7","41.4","5.61","38.3","0","6.58","112","24.3","16.4","0.17","56.2","56.3","21.22","55"
"307",="5388","中磊","89.7","2019","226","72.7","74.6","59","150","214","1.51","30","3.41","2.96","262","157","23","0.61","185","76.8","30.82","43"
"308",="2457","飛宏","59.1","2019","222","21.5","20.8","13.5","45.8","59.9","2.26","28.5","0.33","0.69","95.3","31.3","13","1.03","46.2","49.1","14.58","36"
"309",="3006","晶豪科","77.4","2019","221","27.6","13.4","49.7","44.9","95","1.03","6.96","0.82","0.12","105","30.3","","0.18","31.4","73.4","27.4","47"
"310",="5289","宜鼎","255.5","2019","221","19","9.7","7.73","30.2","38.7","1.45","13.7","0.24","0.57","56.5","10.2","0.19","0.01","11.5","45","55.96","70"
"311",="2231","為升","165","2019","221","13.9","14","9.35","33.1","44.8","0.64","19","4.91","1.32","72","25.3","1.1","0.21","26.7","45.3","33.5","70"
"312",="2351","順德","121","2019","220","8.72","17.2","26","26.5","53.5","0.17","45.7","0.6","0.35","104","21.4","17.2","1.81","44.2","59.7","30.97","40"
"313",="5534","長虹","74.7","2019","217","13.2","5.18","258","19.5","297","4.85","0.84","","1.17","304","118","7.73","0.53","127","177","60.3","64"
