"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"301",="3596","智易","104","2014","229","22.1","43.5","31.9","66","100","4.2","16.3","0.89","0.45","123","51.8","","0.69","52.6","70.2","40.19","45"
"302","00764B","群益25年美債","33.66","","228","","","","","","","","","","","","","","","","",""
"303",="2597","潤弘","123","2014","227","12.7","39.9","3.31","52.6","61.8","28.1","33","1.45","0.32","125","49.3","15.2","2.82","68.4","56.9","34.32","47"
"304",="2338","光罩","88.8","2014","227","4.01","4.3","4.32","17.4","22.7","4.39","13.3","0.43","1.15","42.2","2.97","","0.4","3.39","38.8","14.09","49"
"305",="1909","榮成","17.1","2014","227","25.4","114","23.1","139","169","40","244","0.69","19.9","474","164","144","4.01","314","160","17.87","38"
"306",="9958","世紀鋼","97.6","2014","227","0.84","31.4","5.07","32.2","39.1","1.52","20.8","","0.01","61.7","12.2","27.1","0.15","39.5","22.2","12.19","30"
"307",="5388","中磊","89.7","2014","226","52.2","47.4","36.3","101","139","0.59","33.2","1.32","3.79","180","117","0.39","2.08","119","60.6","26.32","45"
"308",="2457","飛宏","59.1","2014","222","21.5","20.8","16.4","44.3","62.2","3.88","45.3","0.46","2.23","115","35.9","14.3","0.81","51.8","62.7","22.62","47"
"309",="3006","晶豪科","77.4","2014","221","26","12.2","32.7","56.7","91.6","4.99","6.35","1.04","0.32","104","38.3","","0.69","39.1","65.2","25.52","55"
"310",="5289","宜鼎","255.5","2014","221","4.46","4.78","6","9.24","15.5","0.66","9.22","0.24","0.45","26.4","4.86","0.88","0.01","5.79","20.6","32.72","66"
"311",="2231","為升","165","2014","221","4.66","6.37","3.27","11","15.1","","8.52","0.58","0.35","24.5","4.42","0.03","0.01","4.62","19.9","27.07","89"
"312",="2351","順德","121","2014","220","7.82","23.2","24.2","31.2","56.1","0.02","45.3","0.51","1.37","105","33.2","15","3.88","55.2","49.5","25.77","40"
"313",="5534","長虹","74.7","2014","217","12.3","1.99","241","15.5","261","0.26","0.88","","8.7","270","160","6.83","1.6","169","102","38.71","60"
"314",="6515","穎崴","616","2014","213","","","","","","","","","","","","","","","","",""
"315",="2108","南帝","43.2","2014","213","9.96","9.22","10.3","29","41.8","1.45","32.6","0.06","1.81","78.1","12.5","0.27","1.52","17","61.1","14.31","49"
"316",="2727","王品","275","2014","212","25.6","1.47","24.3","27.1","59.1","1.23","30.5","0.12","4.26","96","44.4","","1.79","46.4","49.6","51.6","55"
"317",="6282","康舒","40.2","2014","212","26.7","58.7","29.9","89","122","10.3","37.3","","3.6","175","72.6","","4.26","81.5","93.1","17.22","47"
"318",="1785","光洋科","35.3","2014","211","4.17","19.7","69.5","28.2","114","3.41","84.5","0.52","6.29","212","84.5","62.1","1.17","149","63","14.92","32"
"319",="9940","信義","28.6","2014","211","28.7","11.5","53.9","48.8","107","31.5","36","1.43","1.43","178","28.8","43.6","10.2","82.9","95.2","15.29","51"
"320",="8996","高力","232.5","2014","208","5.42","4.59","5.9","10.4","16.8","1.29","10","","0.35","28.6","8.51","2.07","0.26","10.8","17.8","21.89","53"
"321",="6214","精誠","76.2","2014","208","23.1","34.4","19.6","107","136","17.4","22.8","5.45","3.49","186","48.3","","1.91","50.3","135","54.9","51"
"322",="2867","三商壽","5.05","2014","207","637","73.4","","","","6,599","78.5","0.34","589","8,024","","","14","7,763","261","19.29","36"
"323",="3010","華立","87","2014","205","24.9","112","35.7","139","192","48.3","18","0.51","2.55","263","125","22.9","3.3","159","105","41.88","34"
"324",="00891","中信關鍵半導體","13.3","","204","","","","","","","","","","","","","","","","",""
"325",="3016","嘉晶","70.7","2014","204","1.88","1.91","0.63","4.63","6.06","0.88","5.03","0.04","0.03","12","1.34","","0.1","1.44","10.6","11.27","55"
"326",="1789","神隆","25.75","2014","204","19.3","7.22","24.5","26.5","52.5","2.48","50.7","0.24","4.22","114","19.2","","0.7","19.9","93.8","13.34","62"
"327",="2208","台船","21.65","2014","202","3.44","128","23.9","131","174","3.38","111","0.39","1.5","298","134","","12.8","160","138","18.44","32"
"328",="2540","愛山林","75.8","2014","202","13","8.06","14.3","21.1","39.3","1.31","0.97","0.02","8.53","50.3","8.09","6.02","0.51","14.6","35.7","24.31","43"
"329",="8422","可寧衛","185","2014","201","11.9","9.52","0.03","27.1","27.4","1.92","15.4","","7.22","52.1","4.75","","0.85","6.15","45.9","42.17","89"
"330","2891B","中信金乙特","60.2","","201","","","","","","","","","","","","","","","","",""
"331",="2392","正崴","39.1","2014","200","74.4","187","75.6","261","348","64.8","202","28.1","17.4","663","289","57","12.3","372","291","50.02","40"
"332",="1736","喬山","65.6","2014","199","51","67.4","37","118","162","","19.9","2.43","8.07","201","100","5.58","0.87","110","91","30.08","59"
