"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"1",="2330","台積電","518","2014","134,330","3,584","1,152","663","5,522","6,266","301","8182","135","15.6","14,950","2,010","2,137","338","4,487","10,463","40.32","91"
"2",="2317","鴻海","103.5","2014","14,348","6,790","8,183","3,692","15,018","19,324","1,252","3589","44.4","244","24,627","13,026","1,588","95","14,780","9,847","62.89","43"
"3",="2454","聯發科","773","2014","12,365","1,928","178","223","2,231","2,486","150","233","608","3.14","3,511","1,016","","12.6","1,035","2,476","158.07","81"
"4",="2412","中華電","118","2014","9,154","236","263","71","533","694","209","3027","428","91.1","4,467","589","19","161","772","3,695","46.98","68"
"5",="6505","台塑化","81.7","2014","7,783","407","616","807","1,466","2,603","508","1454","","104","4,730","1,045","1,216","70.2","2,334","2,396","25.14","36"
"6",="2308","台達電","286.5","2014","7,442","735","467","216","1,209","1,478","171","368","117","26.6","2,204","646","265","38","1,048","1,157","42.21","60"
"7",="2881","富邦金","55.5","2014","6,879","1,786","1,774","","","","31,663","436","310","648","54,384","","","147","50,222","4,162","39.87","62"
"8",="2303","聯電","53.2","2014","6,653","457","230","152","695","969","375","1667","45.3","54.4","3,132","481","334","45.7","882","2,250","17.66","53"
"9",="1303","南亞","76.5","2014","6,067","366","810","474","1,585","2,117","1,547","1451","1.4","128","5,329","717","936","268","1,998","3,330","40.28","49"
"10",="2882","國泰金","41","2014","6,014","4,350","1,344","","","","42,418","929","92.8","376","69,448","","","166","65,057","4,391","34.44","62"
"11",="1301","台塑","90.7","2014","5,774","53.9","428","229","1,322","1,601","1,734","840","6.01","110","4,308","479","789","94.6","1,457","2,852","44.91","40"
"12",="2002","中鋼","31.45","2014","4,949","136","218","812","475","1,484","561","4593","24.9","104","6,827","1,315","1,963","65.8","3,481","3,346","19.72","38"
"13",="3711","日月光投控","109.5","","4,774","","","","","","","","","","","","","","","","",""
"14",="2886","兆豐金","31.75","2014","4,426","1,716","2,015","","","","6,630","221","3.08","63.2","32,706","","","116","30,097","2,609","20.97","76"
"15",="2891","中信金","20.85","2014","4,083","1,336","1,894","","","","11,119","434","170","290","36,547","","","87.8","34,252","2,294","15.03","62"
"16",="1326","台化","68.5","2014","4,015","143","703","489","1,706","2,259","1,476","1450","9.46","88.3","5,308","913","1,040","113","2,075","3,233","47.55","40"
"17",="1216","統一","68.7","2014","3,904","439","237","344","834","1,358","658","1632","28.7","262","3,988","1,416","841","183","2,482","1,506","16.84","49"
"18",="5871","中租-KY","230","2014","3,641","83.4","1,649","0","1,802","1,871","48.7","90","0.36","346","2,379","1,541","436","22.9","2,015","364","31.35","51"
"19",="5880","合庫金","25.35","2014","3,551","451","247","","","","4,134","403","37.7","59.1","30,822","","","13.9","29,236","1,586","17.18","57"
"20",="3045","台灣大","99","2014","3,484","79","160","32.1","261","328","54.2","471","612","61.6","1,535","535","280","18.9","870","665","22.14","57"
"21",="2603","長榮","162","2014","3,429","328","154","44.9","483","573","281","995","0.23","36.1","1,889","407","640","182","1,241","648","17.51","43"
"22",="2892","第一金","25.8","2014","3,412","623","649","","","","5,144","283","4.3","38.2","23,557","","","43.5","22,013","1,544","16.63","67"
"23",="2884","玉山金","23.7","2014","3,383","295","731","","","","4,382","211","56.8","36.3","15,664","","","15.3","14,588","1,076","15.15","67"
"24",="2207","和泰車","595","2014","3,250","72.9","755","53.1","862","950","150","368","0.02","13.7","1,492","858","87.7","106","1,081","411","64.81","40"
"25",="2382","廣達","83.2","2014","3,214","2,221","1,864","1,007","4,266","5,411","45.3","512","8.23","54","6,078","4,420","230","9.43","4,677","1,401","34.34","40"
"26",="3008","大立光","2250","2014","3,003","241","136","35.4","412","448","1.11","137","0.33","20.9","611","148","","0.62","149","462","344.4","89"
"27",="2880","華南金","21.65","2014","2,954","651","456","","","","4,987","333","3.72","52.4","22,600","","","27.3","21,160","1,439","15.43","67"
"28",="2395","研華","363","2014","2,816","31.2","59.5","47.8","127","180","28.8","88.8","14.6","1.85","315","77.8","","3.33","90.1","225","35.47","68"
"29",="2912","統一超","268","2014","2,786","215","58","108","338","471","116","221","12","28.2","858","473","9.3","72.4","556","303","25.51","60"
"30",="0050","元大台灣50","118.95","2014","2,741","","","","","","","","","","","","","","","","",""
"31",="2885","元大金","21.85","2014","2,732","471","1,207","","","","5,284","134","270","165","12,918","","","125","11,067","1,850","16.74","71"
"32",="3034","聯詠","434.5","2014","2,644","200","143","61.6","344","407","14.4","14.1","21.5","0.19","459","174","","1.3","177","282","46.39","62"
"33",="1101","台泥","36.4","2014","2,605","305","307","105","810","966","193","1084","195","489","2,927","686","505","15.6","1,307","1,620","31.95","53"
"34",="4904","遠傳","70.8","2014","2,307","38.5","74.5","28.5","145","208","25.6","509","477","7.23","1,237","227","241","13.1","502","736","22.32","60"
"35",="2609","陽明","65.4","2014","2,284","217","82.2","32","318","384","186","861","0.4","67.8","1,526","349","644","124","1,141","384","11.78","40"
"36",="1590","亞德客-KY","1120","2014","2,240","16.4","29","18.5","54","74.3","2.21","104","1.03","5.94","189","66.4","19","0.29","88.8","101","58.1","64"
"37",="6488","環球晶","502","2014","2,185","26.9","36.9","28.3","63.8","101","0","89.7","6.76","16.5","214","57.9","","16.8","81.8","132","41.57","55"
