"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"301",="3596","智易","104","2013","229","16.9","40.7","32.2","57.6","91.5","2.61","13","0.59","0.44","109","41.1","2","0.72","44","64.9","37.49","45"
"302","00764B","群益25年美債","33.66","","228","","","","","","","","","","","","","","","","",""
"303",="2597","潤弘","123","2013","227","19.1","39.5","3.59","58.6","69.7","29.3","32.7","1.44","0.52","134","72.6","7.19","2.69","84","49.7","34.69","49"
"304",="2338","光罩","88.8","2013","227","3.62","4.31","3.99","17.4","22.2","4.61","14.1","0.26","2.32","43.7","3.36","","0.46","3.82","39.9","14.42","53"
"305",="1909","榮成","17.1","2013","227","13","103","21.1","116","146","38.5","232","0.71","14.4","433","139","142","3.81","287","147","17.39","36"
"306",="9958","世紀鋼","97.6","2013","227","1.33","24","5.17","25.4","32.9","1.53","12.7","","0.12","47.6","21.4","3.16","0.16","24.7","22.9","12.6","30"
"307",="5388","中磊","89.7","2013","226","38.1","28.3","26.3","66.4","94.7","0.46","32.5","1.39","3.78","134","78.9","5.57","2.06","86.7","47.3","22.4","47"
"308",="2457","飛宏","59.1","2013","222","14.2","20","17.1","34.7","55.2","4.41","39.9","0.46","2.88","103","34.6","7.92","0.66","44","59.3","21.42","45"
"309",="3006","晶豪科","77.4","2013","221","18.4","8.25","20.9","44.4","65.9","5.18","6.51","1.4","0.05","79.1","20.6","","0.67","21.3","57.8","23.29","55"
"310",="5289","宜鼎","255.5","2013","221","2.42","3.51","3.9","5.93","9.92","0.67","9.33","0.32","0.13","20.7","3.94","0.96","0.01","4.93","15.8","28.81","66"
"311",="2231","為升","165","2013","221","4.26","4.39","2.88","8.65","11.8","","7.33","0.45","0.44","20","3.59","2.1","0.02","5.81","14.2","22.64","73"
"312",="2351","順德","121","2013","220","4.66","19.7","21.3","24.5","46.7","0.02","46.5","0.5","1.06","95.9","28.2","17.3","3.79","52","43.9","23.07","38"
"313",="5534","長虹","74.7","2013","217","5","0.82","220","8.06","233","0.4","3.4","","7.08","244","137","6.71","1.54","145","98.8","39.57","68"
"314",="6515","穎崴","616","","213","","","","","","","","","","","","","","","","",""
"315",="2108","南帝","43.2","2013","213","5.12","8.69","15.1","21.1","39.5","1.45","35.6","0.07","1.59","78.7","14.8","0.7","1.74","19.9","58.9","14.39","47"
"316",="2727","王品","275","2013","212","34.8","1.88","15.5","36.7","58.6","1.08","26.7","0.14","3.19","90.3","39.3","","1.35","40.9","49.5","55.75","64"
"317",="6282","康舒","40.2","2013","212","34.1","56.7","26.8","104","133","1.87","35.8","","2.95","175","76.3","","4.19","84.7","90.5","16.73","47"
"318",="1785","光洋科","35.3","2013","211","1.99","22.8","60.7","28.3","98","2.55","85.3","0.68","8.8","196","53.1","46.8","1.17","102","94.2","15.75","30"
"319",="9940","信義","28.6","2013","211","16.1","13.2","41.7","40.4","94.2","31.3","35.6","0.9","3.74","166","43","15.7","10.7","69.7","96.2","18.88","62"
"320",="8996","高力","232.5","2013","208","3.34","4.09","6.65","7.55","14.7","1.31","8.39","","0.94","25.5","6.65","1.93","0.18","8.76","16.7","21.58","51"
"321",="6214","精誠","76.2","2013","208","19.3","35.5","18","104","131","18.2","24.5","5.59","3.46","183","49.9","0.32","1.99","52.3","131","54.25","53"
"322",="2867","三商壽","5.05","2013","207","632","74.8","","","","5,605","62.8","0.3","597","7,002","","","33.9","6,789","214","17.4","36"
"323",="3010","華立","87","2013","205","29.8","95.1","30.8","129","171","42.5","13.4","0.61","2.43","231","108","18","2.69","135","96.6","38.66","38"
"324",="00891","中信關鍵半導體","13.3","","204","","","","","","","","","","","","","","","","",""
"325",="3016","嘉晶","70.7","2013","204","3.9","1.68","0.71","6.62","8.1","0.66","5.49","0.05","0.01","14.3","3.85","","0.08","3.93","10.4","11.05","43"
"326",="1789","神隆","25.75","2013","204","22.9","11.3","25.1","34.2","61.4","2.58","42.1","0.29","5.35","115","17.7","","0.66","18.4","96.4","14.27","77"
"327",="2208","台船","21.65","2013","202","1.26","91.9","24.3","93.1","149","3.35","104","0.31","2.34","263","92.5","","20.3","126","137","18.31","34"
"328",="2540","愛山林","75.8","2013","202","0.33","2.64","6.1","2.97","11.3","1.22","0.02","0.01","9.52","22.1","6.2","0","0.51","6.71","15.4","15.91","66"
"329",="8422","可寧衛","185","2013","201","9.18","11.7","0.03","29.8","30.2","2.09","8.02","","9.93","50.3","4.71","","0.77","5.94","44.4","40.76","87"
"330","2891B","中信金乙特","60.2","","201","","","","","","","","","","","","","","","","",""
"331",="2392","正崴","39.1","2013","200","79.2","205","98.3","284","393","61.3","199","26.8","20.4","702","348","56.5","11.7","425","277","49.18","40"
