"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"1",="2330","台積電","518","2013","134,330","2,427","722","375","3,175","3,585","892","7927","115","39.9","12,631","1,898","2,163","92.1","4,153","8,478","32.69","89"
"2",="2317","鴻海","103.5","2013","14,348","6,940","7,879","3,128","14,842","18,086","713","3796","128","244","23,125","13,590","1,322","91.9","15,065","8,059","58.25","40"
"3",="2454","聯發科","773","2013","12,365","1,330","113","93.5","1,505","1,617","680","113","155","2.56","2,586","614","","8.49","633","1,954","145.55","72"
"4",="2412","中華電","118","2013","9,154","146","230","78.5","418","605","236","3027","444","84.9","4,412","588","14","154","758","3,653","46.44","68"
"5",="6505","台塑化","81.7","2013","7,783","167","1,049","804","1,453","2,525","517","1596","","120","4,822","1,166","1,177","71.9","2,419","2,404","25.23","36"
"6",="2308","台達電","286.5","2013","7,442","590","443","180","1,041","1,265","168","372","109","26.4","1,973","594","188","38.2","894","1,079","38.42","60"
"7",="2881","富邦金","55.5","2013","6,879","1,942","1,450","","","","27,059","345","135","248","45,970","","","166","42,551","3,419","30.92","62"
"8",="2303","聯電","53.2","2013","6,653","508","175","140","711","888","321","1624","47.4","51.8","2,959","482","284","43.3","835","2,124","16.68","53"
"9",="1303","南亞","76.5","2013","6,067","245","1,103","452","1,780","2,296","1,281","1478","2.47","124","5,245","941","1,028","257","2,292","2,953","35.62","40"
"10",="2882","國泰金","41","2013","6,014","3,317","1,696","","","","36,906","1034","92.2","270","61,773","","","147","57,978","3,795","23.49","57"
"11",="1301","台塑","90.7","2013","5,774","76.7","371","217","1,163","1,429","1,688","815","6.38","133","4,087","597","701","93.6","1,463","2,624","41.23","43"
"12",="2002","中鋼","31.45","2013","4,949","137","218","830","459","1,482","507","4627","26.8","116","6,820","1,349","2,060","77.7","3,626","3,194","19.11","38"
"13",="3711","日月光投控","109.5","","4,774","","","","","","","","","","","","","","","","",""
"14",="2886","兆豐金","31.75","2013","4,426","1,603","1,846","","","","6,839","222","3.18","88.2","31,136","","","85.4","28,720","2,416","19.39","71"
"15",="2891","中信金","20.85","2013","4,083","1,152","1,725","","","","6,458","383","139","134","24,247","","","123","22,319","1,928","13.1","62"
"16",="1326","台化","68.5","2013","4,015","115","645","538","1,479","2,139","1,527","1451","0.07","108","5,257","979","1,041","108","2,130","3,127","45.71","38"
"17",="1216","統一","68.7","2013","3,904","408","241","362","788","1,299","612","1477","28.3","243","3,702","1,304","795","185","2,321","1,381","16.73","51"
"18",="5871","中租-KY","230","2013","3,641","75.9","1,337","5.68","1,464","1,543","39.4","71.9","0.23","288","1,958","1,307","315","18.3","1,653","304","28.74","51"
"19",="5880","合庫金","25.35","2013","3,551","407","253","","","","3,453","389","38","24.3","30,731","","","14.1","29,207","1,524","17.33","52"
"20",="3045","台灣大","99","2013","3,484","79.5","151","37.8","240","295","45.1","430","548","56","1,384","586","168","9.54","798","585","21.35","57"
"21",="2603","長榮","162","2013","3,429","335","142","51.8","477","567","282","762","0.1","134","1,750","343","599","194","1,148","602","16.47","32"
"22",="2892","第一金","25.8","2013","3,412","567","694","","","","5,070","285","3.46","38.4","22,634","","","36.5","21,222","1,412","16.26","62"
"23",="2884","玉山金","23.7","2013","3,383","213","629","","","","3,824","194","55.5","24.4","13,811","","","15.9","12,978","833","14.96","67"
"24",="2207","和泰車","595","2013","3,250","98.5","654","77.6","773","885","108","336","0.05","10.9","1,350","785","56.7","98.5","968","383","60.5","45"
"25",="2382","廣達","83.2","2013","3,214","2,074","1,814","866","4,031","4,964","42.5","480","8.77","44.1","5,581","3,927","314","7.82","4,270","1,311","31.99","40"
"26",="3008","大立光","2250","2013","3,003","135","69.6","26.9","240","268","2.74","98","0.26","14.3","386","81","","0.62","81.7","304","226.97","91"
"27",="2880","華南金","21.65","2013","2,954","492","485","","","","4,950","322","4.04","37.6","21,647","","","39","20,291","1,357","14.98","62"
"28",="2395","研華","363","2013","2,816","28.3","53.8","40.3","109","154","22.7","79.4","15.9","1.8","275","72.1","","2.87","81.2","194","33.97","70"
"29",="2912","統一超","268","2013","2,786","210","50.8","102","333","465","99","215","12.1","33.4","835","471","18.3","70.1","560","275","22.84","60"
"30",="0050","元大台灣50","118.95","2013","2,741","","","","","","","","","","","","","","","","",""
"31",="2885","元大金","21.85","2013","2,732","272","983","","","","2,081","124","255","68.8","8,651","","","132","7,035","1,616","16.01","62"
"32",="3034","聯詠","434.5","2013","2,644","183","109","43.6","292","337","14.3","15.2","20.6","0.16","390","141","","1.21","144","246","40.46","60"
"33",="1101","台泥","36.4","2013","2,605","257","274","92.9","725","878","192","1094","195","468","2,827","704","473","16.4","1,291","1,536","30.63","51"
"34",="4904","遠傳","70.8","2013","2,307","28.2","72.6","40.2","122","193","22.9","480","489","6.91","1,202","226","200","15.6","460","742","22.34","62"
"35",="2609","陽明","65.4","2013","2,284","136","62.4","35.4","218","275","148","897","0.47","73.8","1,423","301","634","126","1,087","336","11.59","26"
"36",="1590","亞德客-KY","1120","2013","2,240","14.7","22.9","15.4","38.8","55.2","2.79","81.1","0.69","4.39","145","41.8","9.93","0.42","54.7","90.4","52.2","72"
"37",="6488","環球晶","502","2013","2,185","15.4","31.6","32.9","47","85.9","","98","6.37","20.5","211","49.8","","17.4","79.4","131","","50"
"38",="5876","上海商銀","44.7","2013","2,173","581","153","","","","3,383","217","","44.4","14,359","","","24.7","13,038","1,322","26.62","76"
"39",="2327","國巨","496","2013","2,089","143","69.6","46.7","287","339","54","151","26.4","4.43","587","215","74","2.87","294","293","19.14","49"
"40",="2883","開發金","12.2","2013","2,055","202","1,257","","","","3,060","90.9","62.8","109","6,479","","","117","4,788","1,691","11.04","67"
"41",="3037","欣興","134","2013","2,042","238","134","46.1","375","435","75.4","469","2.08","8.86","995","287","196","10.1","496","499","29.55","47"
"42",="2379","瑞昱","397.5","2013","2,039","165","42.2","27.9","222","272","25.3","30.4","12.6","0.53","341","136","","1.48","146","195","38.65","64"
"43",="2357","華碩","271","2013","2,013","665","759","773","1,531","2,389","354","107","21.6","21.7","2,961","1,511","12","2.37","1,591","1,370","182.02","43"
"44",="8069","元太","175.5","2013","2,001","46.6","37.2","32","99.7","142","53.7","98.4","98","2.56","401","85.6","48.8","10.9","145","256","22.6","40"
"45",="2890","永豐金","16.25","2013","1,973","364","1,511","","","","3,791","140","30.4","98.3","14,659","","","75","13,574","1,085","13.21","67"
"46",="1605","華新","52.8","2013","1,970","75.6","182","211","259","529","324","216","1.99","47.8","1,134","359","121","28.9","512","622","16.77","30"
"47",="0056","元大高股息","27.76","2013","1,944","","","","","","","","","","","","","","","","",""
"48",="2615","萬海","69","2013","1,936","203","45.6","13.4","279","306","24.4","446","0.65","8.72","786","137","317","12.5","474","312","13.98","47"
"49",="2887","台新金","16","2013","1,916","615","1,076","","","","6,528","415","216","65.7","28,710","","","44.2","26,730","1,980","13.47","71"
"50",="6415","矽力*-KY","499","2013","1,903","20.1","1.74","3.04","25.1","28.3","0","0.68","0.02","0.31","29.3","2.38","","","2.38","26.9","42.71","87"
"51",="2408","南亞科","59.3","2013","1,837","40","89.6","77.2","130","220","130","528","1.38","21.4","933","777","44","12.3","833","100","0.41","53"
"52",="4938","和碩","67.9","2013","1,811","743","1,332","1,036","2,149","3,269","35.4","739","19.7","64.3","4,159","2,393","289","11.7","2,718","1,441","46.26","38"
"53",="2801","彰銀","16.95","2013","1,796","468","202","","","","3,751","239","0.8","2.99","17,001","","","22.2","15,877","1,124","14.51","67"
"54",="00878","國泰永續高股息","16.92","","1,791","","","","","","","","","","","","","","","","",""
