"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"1",="2330","台積電","518","2015","134,330","5,627","857","671","6,719","7,467","350","8535","141","18.6","16,575","2,122","1,920","306","4,349","12,226","47.11","94"
"2",="2317","鴻海","103.5","2015","14,348","6,571","6,347","4,246","12,986","17,882","1,384","3367","32.5","233","23,083","10,561","1,720","102","12,479","10,604","64.44","45"
"3",="2454","聯發科","773","2015","12,365","1,533","192","241","1,861","2,149","231","344","754","4.69","3,512","1,013","0","10.8","1,042","2,471","153.75","70"
"4",="2412","中華電","118","2015","9,154","303","270","87.8","591","762","187","2964","504","92.1","4,530","585","17.4","185","790","3,740","47.53","70"
"5",="6505","台塑化","81.7","2015","7,783","456","622","520","1,648","2,306","402","1323","","164","4,255","588","923","75.2","1,587","2,667","28","55"
"6",="2308","台達電","286.5","2015","7,442","513","506","239","1,024","1,322","185","419","254","26.7","2,263","764","39.9","46.6","967","1,296","47.88","53"
"7",="2881","富邦金","55.5","2015","6,879","2,083","1,437","","","","35,435","546","303","846","59,875","","","207","56,114","3,761","35.92","62"
"8",="2303","聯電","53.2","2015","6,653","533","200","176","739","948","402","1864","45","91.7","3,374","482","475","111","1,085","2,288","18.28","55"
"9",="1303","南亞","76.5","2015","6,067","519","665","387","1,568","1,997","1,590","1371","1.12","122","5,137","666","746","256","1,758","3,380","40.89","51"
"10",="2882","國泰金","41","2015","6,014","1,918","1,416","","","","51,176","975","569","711","75,690","","","203","71,079","4,611","36.22","57"
"11",="1301","台塑","90.7","2015","5,774","198","283","167","1,274","1,486","1,828","815","5.87","84.5","4,235","595","554","96.5","1,361","2,874","45.15","49"
"12",="2002","中鋼","31.45","2015","4,949","203","227","689","505","1,351","779","4487","24","84","6,781","1,344","2,025","73.1","3,574","3,207","19.04","36"
"13",="3711","日月光投控","109.5","","4,774","","","","","","","","","","","","","","","","",""
"14",="2886","兆豐金","31.75","2015","4,426","1,529","1,757","","","","7,583","218","3","25.5","33,985","","","111","31,051","2,935","21.57","76"
"15",="2891","中信金","20.85","2015","4,083","1,143","1,680","","","","16,659","645","233","613","45,962","","","105","43,186","2,776","15.39","57"
"16",="1326","台化","68.5","2015","4,015","347","458","400","1,646","2,109","1,467","1444","0.03","88.8","5,130","824","853","113","1,799","3,331","48.41","49"
"17",="1216","統一","68.7","2015","3,904","450","206","343","809","1,385","659","1605","27.7","260","3,989","1,504","699","185","2,433","1,557","16.95","51"
"18",="5871","中租-KY","230","2015","3,641","111","1,856","0","2,048","2,110","50.8","99.3","0.46","386","2,676","1,851","383","23.1","2,275","400","33.26","47"
"19",="5880","合庫金","25.35","2015","3,551","438","235","","","","4,307","395","36.8","37.9","32,351","","","15.9","30,448","1,903","16.85","62"
"20",="3045","台灣大","99","2015","3,484","85.8","169","41.9","265","342","52.9","472","624","61.6","1,561","592","265","18.4","908","653","21.88","57"
"21",="2603","長榮","162","2015","3,429","328","124","28","454","522","293","1076","0.22","30","1,927","394","741","169","1,314","613","16.51","34"
"22",="2892","第一金","25.8","2015","3,412","481","758","","","","6,036","277","4.11","43.5","25,001","","","59.6","23,121","1,880","16.37","62"
"23",="2884","玉山金","23.7","2015","3,383","367","786","","","","5,312","268","59.5","61.4","17,753","","","21.6","16,536","1,217","15.21","71"
"24",="2207","和泰車","595","2015","3,250","104","852","59.6","997","1,107","155","355","","10.6","1,636","986","50.5","113","1,179","458","72.07","45"
"25",="2382","廣達","83.2","2015","3,214","1,327","1,639","1,223","3,364","4,705","13.5","492","8.11","33.5","5,316","3,690","209","12.3","3,915","1,401","34.44","36"
"26",="3008","大立光","2250","2015","3,003","392","117","37.3","576","615","1.05","201","0.28","18.3","840","205","","0.73","206","634","472.54","91"
"27",="2880","華南金","21.65","2015","2,954","392","350","","","","4,971","325","4.96","26.7","23,503","","","50.6","21,972","1,531","15.45","62"
