"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"301",="3596","智易","104","2015","229","13.1","57.8","32.4","71.3","106","4.49","19.1","0.99","0.45","132","50","","0.78","51.1","81.1","40.81","36"
"302","00764B","群益25年美債","33.66","","228","","","","","","","","","","","","","","","","",""
"303",="2597","潤弘","123","2015","227","11.7","36.3","3.11","48","54.1","25.6","32.1","2.52","0.3","115","41.2","13","3.12","58.1","57.4","31.82","43"
"304",="2338","光罩","88.8","2015","227","5.15","3.46","3.93","18","22.7","3.83","11","0.4","1.28","39.5","2.95","","0.4","3.37","36.2","15.93","47"
"305",="1909","榮成","17.1","2015","227","11.5","79","23.6","90.6","127","38.2","261","0.61","43.9","473","173","137","4.1","317","155","17.32","36"
"306",="9958","世紀鋼","97.6","2015","227","4.52","24.3","8.73","28.8","39.3","1.51","20.6","","1.84","63.5","14.8","23.5","0.15","38.4","25.1","12.72","34"
"307",="5388","中磊","89.7","2015","226","53.6","68.7","53.7","125","180","1.23","33.8","3.07","4.37","225","153","0.39","2.03","156","69.4","28.75","40"
"308",="2457","飛宏","59.1","2015","222","14.9","23.2","15.6","39.6","60.2","10.2","41.2","0.41","1.99","114","36.6","19.7","0.87","57.9","56.6","20.41","28"
"309",="3006","晶豪科","77.4","2015","221","12.5","10.4","38","31.8","70.2","8.58","7.53","0.19","0.09","86.6","19.2","","0.28","19.6","67","26.13","45"
"310",="5289","宜鼎","255.5","2015","221","10.3","6.49","6.45","17","23.7","1.41","9.44","0.28","0.41","35.5","6.7","5.28","0.01","12","23.5","36.41","66"
"311",="2231","為升","165","2015","221","9.89","9.39","3.56","19.3","23.6","","8.62","0.58","0.56","33.4","5.82","2.07","0.03","8.05","25.4","30.03","86"
"312",="2351","順德","121","2015","220","8.46","18.2","22","26.7","50.1","0.02","45.8","0.54","1.22","99.1","30.2","10.7","4.18","48.1","51.1","26.61","45"
"313",="5534","長虹","74.7","2015","217","23.2","3.69","241","27.7","277","0.43","0.88","","4.99","284","184","0","1.87","186","97.8","35.5","49"
"314",="6515","穎崴","616","","213","","","","","","","","","","","","","","","","",""
"315",="2108","南帝","43.2","2015","213","27","9.58","9.67","39.9","52","1.45","30.1","0.08","2.09","86.3","10.6","0.09","1.62","15","71.3","16.3","68"
"316",="2727","王品","275","2015","212","27.7","1.5","19.8","29.2","56.8","1.59","28.2","0.61","4.13","92.4","45.4","","1.77","47.4","45","43.49","49"
