"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"301",="3596","智易","104","2018","229","59.8","59","64","119","186","4.16","19.1","0.61","0.67","213","116","0","0.9","118","94.7","46.82","38"
"302","00764B","群益25年美債","33.66","","228","","","","","","","","","","","","","","","","",""
"303",="2597","潤弘","123","2018","227","7.86","12.8","4.78","29.9","39.9","25.3","31.1","2.17","0.33","99.4","28.8","12.9","2.92","44.8","54.6","29.83","47"
"304",="2338","光罩","88.8","2018","227","5.63","6.21","4.09","12.4","17.3","8.88","9.67","1.13","1.57","38.6","12.4","0","0.35","12.9","25.7","13.08","43"
"305",="1909","榮成","17.1","2018","227","21.7","129","41.5","151","224","37.8","421","0.84","27.5","716","308","175","4.12","496","220","18.41","38"
"306",="9958","世紀鋼","97.6","2018","227","33","5.24","11","49.5","61.5","4.53","33.8","","2.21","103","14.4","39.3","0.13","53.8","48.8","17.68","45"
"307",="5388","中磊","89.7","2018","226","53.6","74.7","50.2","136","189","1.1","32.5","3.59","3.6","234","161","0","1.59","164","70.1","29","40"
"308",="2457","飛宏","59.1","2018","222","21.1","22.6","21.1","46.8","71.8","1.88","28.4","0.32","1.95","105","40.5","11.5","1.03","53.9","50.9","15.1","30"
"309",="3006","晶豪科","77.4","2018","221","18.7","11.7","57.7","33.5","92.1","0.79","7.99","1.34","0.66","103","30.1","","0.18","30.4","72.4","27.01","47"
"310",="5289","宜鼎","255.5","2018","221","16.7","10.2","7.3","26.9","34.9","1.77","13.8","0.25","0.49","51.7","11.4","1.08","0.01","12.5","39.2","49.89","68"
"311",="2231","為升","165","2018","221","15.2","13.2","5.38","32.8","40.3","0.73","15.4","5.05","5.03","67.2","26.9","0","0.18","27.2","40","30.76","77"
"312",="2351","順德","121","2018","220","9.96","22.1","28.7","32.1","62.3","0.16","47.6","0.64","1.54","114","35.8","12.5","2.09","53.6","60.2","31.31","47"
"313",="5534","長虹","74.7","2018","217","16.9","8.64","227","29.8","275","2.21","0.85","","1.5","279","105","8.27","0.56","114","165","56.39","68"
"314",="6515","穎崴","616","2018","213","2.16","4.71","2.8","7.01","10","0.06","4","0.27","0.26","15","5.01","","","5.01","9.96","","64"
"315",="2108","南帝","43.2","2018","213","30.4","17.5","10.2","56.2","69.9","2.79","24.8","0.13","3.33","102","14.5","","1.1","18.6","82.9","16.16","72"
"316",="2727","王品","275","2018","212","17.6","3.13","12.8","29.6","59.8","0.52","27.7","0.48","5.12","94.6","46.4","","1.22","49.9","44.7","44.56","51"
"317",="6282","康舒","40.2","2018","212","9.09","55.6","40.7","105","151","5.12","32.7","","3.9","195","98.9","0.4","1.72","108","86.6","16.13","36"
"318",="1785","光洋科","35.3","2018","211","7.95","15","69.3","23","115","10","63.8","0.38","4.26","198","130","12.6","0.94","147","51.7","12.52","32"
"319",="9940","信義","28.6","2018","211","45.5","10.3","111","111","224","25","35.5","1.15","1.46","288","73","97.7","6.72","178","111","14.88","57"
"320",="8996","高力","232.5","2018","208","5.39","2.56","5.57","8.76","14.6","0.37","11.7","","0.54","27.5","6.52","2.16","0.16","9.02","18.5","20.69","60"
"321",="6214","精誠","76.2","2018","208","28.2","39.7","28.9","98.6","141","35.3","19.1","1.16","2.8","200","64.9","","2.86","67.8","132","53.36","49"
"322",="2867","三商壽","5.05","2018","207","675","104","","","","9,715","85.3","1.06","791","11,438","","","7.71","11,177","261","11","24"
"323",="3010","華立","87","2018","205","25.4","152","50.1","180","242","50.9","20","1.18","1.47","318","154","26.2","3.4","194","124","47.82","34"
"324",="00891","中信關鍵半導體","13.3","","204","","","","","","","","","","","","","","","","",""
"325",="3016","嘉晶","70.7","2018","204","9","13.2","7.63","22.2","30.8","1.12","26","0.64","1.14","60.1","16.4","1.66","1.01","19.5","40.6","14.78","51"
"326",="1789","神隆","25.75","2018","204","42","6.63","13.6","50.5","65.1","4.68","47.6","0.17","2.2","126","19.5","","0.79","20.2","105","13.33","64"
"327",="2208","台船","21.65","2018","202","1.38","10","13.4","78","104","2.19","106","0.15","0.31","228","87.8","57","10.3","168","59.9","15.93","28"
"328",="2540","愛山林","75.8","2018","202","1.56","5.87","76.4","7.43","92.3","2.88","8.6","0","9.19","113","61.1","9.98","0.56","71.7","41.6","28.38","36"
"329",="8422","可寧衛","185","2018","201","10.6","6.34","0.02","21.6","22.4","8.16","34.9","","2.22","68.2","8.97","2","0.71","12.8","55.3","50.82","91"
"330","2891B","中信金乙特","60.2","2018","201","","","","","","","","","","","","","","","","",""
"331",="2392","正崴","39.1","2018","200","61.2","142","131","210","359","58.4","220","28.8","42.1","712","259","140","24.4","432","279","42.75","36"
"332",="1736","喬山","65.6","2018","199","32.5","79.7","55.1","113","174","","32.2","12.2","6.55","237","130","18.6","1.76","153","84.3","27.79","39"
"333",="1231","聯華食","88.3","2018","198","5.64","16.4","12.4","22.8","37.4","5.65","26.2","0.04","0.23","70","23.4","10.8","1.42","35.7","34.4","20.57","45"
"334",="1536","和大","70.8","2018","198","13","21.4","17.6","36.2","55.7","4.31","89.1","0.14","5.98","156","43","41.7","1.57","87.1","68.7","26.74","53"
"335",="6643","M31","622","2018","197","3.62","2.3","","7.04","7.8","0.08","1.53","0.05","0.05","9.58","2.13","","","2.13","7.45","26.02","89"
"336",="6691","洋基工程","290","2018","197","16.2","8.65","0.45","48.9","50.8","0.07","3.75","0.03","0.09","55.3","35.9","1.16","0","37.5","17.9","60.94","60"
"337",="2820","華票","14.65","2018","197","2.62","12.9","","","","1,974","1.5","","0.49","1,995","","","2.83","1,762","233","17.35","57"
"338",="1313","聯成","14.55","2018","196","48.9","42.2","84.8","98.6","207","54.7","171","0.07","21.3","458","105","148","4.21","260","198","15.52","38"
"339","2881C","富邦金丙特","58.9","","196","","","","","","","","","","","","","","","","",""
"340",="9937","全國","63.3","2018","196","8.78","1.96","1.65","10.7","12.8","21.6","44.9","0.5","19.7","100","51.2","0.11","0.61","52.1","48.1","15.56","43"
"341",="2328","廣宇","37.7","2018","195","44.4","89.1","27.6","141","171","38.1","18.5","0.38","1.81","231","103","","0.41","106","125","21.09","43"
"342",="2501","國建","16.85","2018","195","16.2","9.11","260","51.5","325","128","18.6","0.2","10.8","488","188","44.1","2.37","234","253","21.62","51"
"343",="6443","元晶","38.75","2018","195","1.85","3.6","5.62","5.55","12.3","0.24","66.6","0.07","1.82","83","25","28.4","0","53.4","29.6","6.22","26"
"344",="2104","國際中橡","19.7","2018","194","148","58.7","34.1","243","285","49","138","4.95","18.1","499","111","42","1.8","177","323","34.47","60"
"345",="8131","福懋科","43.4","2018","192","12.7","16","5.14","60.9","67.9","4.32","52.4","","1.99","127","12.3","","0.86","13.2","114","25.68","64"
"346",="2312","金寶","12.85","2018","192","65.2","304","232","381","623","75.2","241","4.38","21.2","991","572","120","11.5","726","266","11.68","28"
"347",="6803","崑鼎","271","2018","192","15.4","10.7","0.64","32","35.7","4.06","21.3","1.36","28","90.8","15","14.2","5.3","36.5","54.2","72.7","64"
"348",="2362","藍天","30.3","2018","192","78","16.3","79","155","256","681","99.7","0.21","86","1,125","191","368","23.2","706","419","67.77","36"
"349",="4105","東洋","77","2018","191","23.7","9.7","7.51","34.7","46.5","13.2","24.7","1.53","4.15","90.5","19.7","3.5","0.61","26.6","63.9","23.34","81"
"350",="6732","昇佳電子","390","2018","191","5.4","3.07","3.3","8.46","12.2","","0.51","0.02","0","12.7","6.06","","0.83","6.88","5.82","24.12","59"
