"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"1",="2330","台積電","518","2018","134,330","5,778","1,293","1,032","8,244","9,517","293","10721","170","32.8","20,901","3,405","569","150","4,126","16,775","64.67","94"
"2",="2317","鴻海","103.5","2018","14,348","7,887","11,892","6,250","20,619","27,065","3,206","2779","304","298","33,814","18,099","2,153","91.1","20,489","13,324","87.43","38"
"3",="2454","聯發科","773","2018","12,365","1,432","372","310","2,018","2,360","502","376","738","4.51","4,028","1,226","2.44","27","1,285","2,743","172.35","57"
"4",="2412","中華電","118","2018","9,154","276","301","151","626","917","187","2889","509","111","4,673","614","42","130","807","3,866","48.54","68"
"5",="6505","台塑化","81.7","2018","7,783","378","696","609","1,627","2,322","485","1074","","115","4,058","504","68","76.6","651","3,407","35.45","55"
"6",="2308","台達電","286.5","2018","7,442","596","587","343","1,211","1,573","164","464","326","25.5","2,619","806","252","50.4","1,225","1,395","50.15","51"
"7",="2881","富邦金","55.5","2018","6,879","2,322","2,093","","","","49,900","585","339","753","77,151","","","417","72,462","4,688","39.93","57"
"8",="2303","聯電","53.2","2018","6,653","837","246","182","1,089","1,412","335","1728","29.9","76.8","3,646","499","671","391","1,581","2,065","17.28","51"
"9",="1303","南亞","76.5","2018","6,067","524","562","490","1,571","2,103","1,989","1409","25.2","121","5,702","818","587","302","1,833","3,869","47.37","51"
"10",="2882","國泰金","41","2018","6,014","2,066","1,612","","","","62,242","1665","538","764","92,245","","","175","86,952","5,293","36.87","52"
"11",="1301","台塑","90.7","2018","5,774","233","342","208","1,600","1,843","2,305","766","4.31","72.4","5,015","831","388","73.9","1,459","3,556","55.86","57"
