"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"301",="3596","智易","104","2016","229","25.3","56.9","37.9","82.8","124","6.86","19.2","0.92","0.61","152","59.9","","0.92","61.2","91","46.01","43"
"302","00764B","群益25年美債","33.66","","228","","","","","","","","","","","","","","","","",""
"303",="2597","潤弘","123","2016","227","10.9","22.7","4.63","33.7","41.4","27.8","31.7","2.25","0.3","104","34.7","11.2","3.26","49.5","54.7","29.68","47"
"304",="2338","光罩","88.8","2016","227","2.8","3.19","2.85","16","19.8","4.6","9.4","0.08","1.36","35.6","2.99","0","0.4","3.4","32.2","14.75","40"
"305",="1909","榮成","17.1","2016","227","32.3","99.4","24.5","133","168","50.3","316","0.65","25.7","563","167","201","2.63","374","189","18.46","45"
"306",="9958","世紀鋼","97.6","2016","227","4.66","22.2","9.84","26.9","38.3","1.5","21.9","","2.26","64.1","17","21.4","0.14","38.5","25.6","12.58","34"
"307",="5388","中磊","89.7","2016","226","57.2","76.1","55.1","137","195","1.24","32.7","2.86","3.23","238","161","","1.88","164","73.6","30.29","45"
"308",="2457","飛宏","59.1","2016","222","13.1","27.6","15","44.8","67.1","8.88","37.3","0.32","1.98","116","54.3","10.2","0.95","66.3","49.7","17.95","32"
"309",="3006","晶豪科","77.4","2016","221","23","11.6","34.6","42.8","78","4.24","7.78","1.22","0.79","92.1","23","","0.17","23.3","68.8","25.94","49"
"310",="5289","宜鼎","255.5","2016","221","12.9","8.02","8.87","21.2","30.3","0.68","10.2","0.26","0.41","42.3","10.7","5.02","0.01","15.8","26.5","37.85","55"
"311",="2231","為升","165","2016","221","29.8","10.4","5.13","40.1","46.4","0","11.2","5.07","1.57","64.3","24.8","6.9","0.15","31.9","32.4","31.18","83"
"312",="2351","順德","121","2016","220","9.8","20.3","22.3","30.2","53.9","0.02","43.7","0.64","1.13","101","25.6","14.9","3.33","46.8","54","28.01","45"
"313",="5534","長虹","74.7","2016","217","6.5","4.13","243","11","265","15.4","0.87","","3.9","285","135","24.5","0.94","161","125","42.61","55"
"314",="6515","穎崴","616","","213","","","","","","","","","","","","","","","","",""
"315",="2108","南帝","43.2","2016","213","21.8","12.7","10.2","35.7","51.3","1.45","27.3","0.07","2.34","83","10.4","0","1.71","14.8","68.2","14.8","62"
"316",="2727","王品","275","2016","212","39.4","1.99","11.1","41.4","63.4","1.1","22.6","0.52","5.01","93","43.1","","2.03","45.3","47.6","45.47","55"
"317",="6282","康舒","40.2","2016","212","29.6","52.2","24.3","85.7","113","5.58","33","","3.73","157","62.9","","4.58","71.6","85.2","15.83","43"
"318",="1785","光洋科","35.3","2016","211","2.84","18.2","49.8","21.8","96","6.2","80.5","0.47","3.42","192","54.9","95.3","0.95","152","40","9.68","26"
"319",="9940","信義","28.6","2016","211","35.1","11.6","77.5","59.5","175","24.9","34.7","1.37","1.41","239","104","35.2","5.18","145","93.9","14.69","43"
"320",="8996","高力","232.5","2016","208","5.73","6.44","5.46","13","18.9","1.25","11.2","","0.76","32.3","6.99","4.97","0.2","12.2","20.1","22.45","57"
"321",="6214","精誠","76.2","2016","208","42.5","35.9","24.2","108","145","21.7","20.1","1.13","2.5","191","60.6","","2.53","63.2","128","51.74","51"
"322",="2867","三商壽","5.05","2016","207","566","84.4","","","","8,229","87.9","0.31","510","9,490","","","14.1","9,177","312","18.73","36"
"323",="3010","華立","87","2016","205","24.7","110","31.7","138","174","47.7","23.2","0.61","1.5","249","108","20.7","3.46","141","108","42.73","34"
"324",="00891","中信關鍵半導體","13.3","","204","","","","","","","","","","","","","","","","",""
"325",="3016","嘉晶","70.7","2016","204","6.03","7.27","4.16","13.3","17.9","1.27","14.2","0.75","0.31","34.9","6.41","","1.1","7.92","27","11.05","47"
