"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"1",="2330","台積電","518","2016","134,330","5,413","1,295","487","7,616","8,177","462","9978","146","19.1","18,865","3,182","1,531","249","4,964","13,901","53.58","91"
"2",="2317","鴻海","103.5","2016","14,348","6,332","7,768","3,873","14,241","19,312","2,960","3092","105","305","25,920","12,526","1,782","87.7","14,583","11,338","62.26","43"
"3",="2454","聯發科","773","2016","12,365","1,406","260","339","1,794","2,203","376","369","720","6.74","3,707","1,193","4.01","12.8","1,240","2,467","155.48","57"
"4",="2412","中華電","118","2016","9,154","311","310","74.2","643","816","155","2912","474","91.9","4,471","601","16","127","759","3,712","47.01","70"
"5",="6505","台塑化","81.7","2016","7,783","672","792","530","2,099","2,790","407","1160","","123","4,524","679","676","76.1","1,433","3,091","32.44","64"
"6",="2308","台達電","286.5","2016","7,442","556","526","260","1,089","1,384","173","406","309","26.2","2,351","813","85.1","39.4","1,061","1,290","47.78","51"
"7",="2881","富邦金","55.5","2016","6,879","1,763","1,350","","","","39,384","573","289","627","63,513","","","261","59,242","4,271","39.4","57"
"8",="2303","聯電","53.2","2016","6,653","576","240","170","823","1,105","348","2250","40.9","73.7","3,867","720","607","334","1,679","2,187","17.74","49"
"9",="1303","南亞","76.5","2016","6,067","574","745","354","1,776","2,175","1,590","1397","29.6","120","5,372","849","652","264","1,862","3,510","42.68","53"
"10",="2882","國泰金","41","2016","6,014","1,959","1,542","","","","53,507","1641","586","664","81,351","","","172","76,053","5,298","39.06","48"
"11",="1301","台塑","90.7","2016","5,774","199","347","171","1,521","1,734","1,994","734","4.89","76.4","4,557","805","414","76.2","1,426","3,131","49.18","51"
"12",="2002","中鋼","31.45","2016","4,949","155","234","795","450","1,401","883","4308","24.9","90.4","6,761","1,232","2,020","82.9","3,465","3,296","19.58","36"
"13",="3711","日月光投控","109.5","","4,774","","","","","","","","","","","","","","","","",""
"14",="2886","兆豐金","31.75","2016","4,426","981","868","","","","8,444","218","2.7","27.7","33,198","","","62","30,278","2,920","21.47","67"
"15",="2891","中信金","20.85","2016","4,083","1,289","1,303","","","","20,512","605","234","511","48,393","","","191","45,571","2,822","14.49","48"
"16",="1326","台化","68.5","2016","4,015","304","574","422","1,892","2,368","1,688","1309","0.02","61.4","5,444","792","784","69.1","1,648","3,796","54.77","51"
"17",="1216","統一","68.7","2016","3,904","563","240","306","864","1,398","603","1488","25.7","221","3,786","1,410","607","195","2,259","1,527","16.61","51"
"18",="5871","中租-KY","230","2016","3,641","129","1,944","","2,133","2,202","37","103","0.78","480","2,861","1,898","491","40.6","2,446","415","34.51","43"
"19",="5880","合庫金","25.35","2016","3,551","555","260","","","","9,507","382","36.2","26.8","33,413","","","20.4","31,428","1,985","16.43","62"
"20",="3045","台灣大","99","2016","3,484","77","167","40.7","256","343","83.6","424","597","59.3","1,514","381","429","19.7","852","662","22.2","57"
"21",="2603","長榮","162","2016","3,429","344","136","31.7","482","540","305","995","1.21","50.6","1,898","420","777","158","1,361","536","14.52","30"
"22",="2892","第一金","25.8","2016","3,412","621","628","","","","6,265","274","4.17","34.6","25,412","","","41.3","23,491","1,920","16.01","67"
"23",="2884","玉山金","23.7","2016","3,383","368","839","","","","5,452","264","62.4","43.8","18,843","","","19.5","17,551","1,292","14.66","67"
"24",="2207","和泰車","595","2016","3,250","120","943","91.1","1,111","1,280","155","337","0","10.6","1,792","1,092","49.6","113","1,286","506","78.92","45"
"25",="2382","廣達","83.2","2016","3,214","2,029","1,707","1,222","4,001","5,324","15.9","455","6.82","21.5","5,874","4,271","194","8.5","4,477","1,397","34.47","40"
"26",="3008","大立光","2250","2016","3,003","527","154","25.8","716","743","0.92","202","0.35","20.4","971","201","","0.79","202","768","572.85","91"
"27",="2880","華南金","21.65","2016","2,954","497","393","","","","6,615","324","5.37","39.8","25,459","","","38.9","23,870","1,590","15.11","62"
"28",="2395","研華","363","2016","2,816","46.4","73.8","56","151","212","23.1","101","41.6","4.24","385","114","0","3.54","132","254","39.83","68"
"29",="2912","統一超","268","2016","2,786","320","54.7","120","383","543","134","223","10.8","28.2","951","526","8.69","83.8","619","333","27.53","60"
"30",="0050","元大台灣50","118.95","2016","2,741","","","","","","","","","","","","","","","","",""
"31",="2885","元大金","21.85","2016","2,732","626","1,462","","","","9,305","209","366","223","21,622","","","211","19,425","2,198","16.96","52"
"32",="3034","聯詠","434.5","2016","2,644","196","109","46.9","305","354","15.6","20","22.6","0.21","415","132","","1.41","136","280","45.95","60"
"33",="1101","台泥","36.4","2016","2,605","282","209","88.9","647","779","183","1018","212","478","2,670","551","533","9.31","1,196","1,474","28.92","47"
"34",="4904","遠傳","70.8","2016","2,307","103","77.2","24.9","195","266","22.8","498","525","7.13","1,328","310","262","14.1","611","717","21.79","60"
"35",="2609","陽明","65.4","2016","2,284","119","78.1","19.9","204","253","158","857","1.19","54.1","1,360","426","639","114","1,198","163","5.26","26"
"36",="1590","亞德客-KY","1120","2016","2,240","18.3","38.1","21.6","75","98.6","0.57","118","0.77","9.31","230","98.2","20.4","","122","108","59.43","60"
"37",="6488","環球晶","502","2016","2,185","56.3","76.4","73.1","133","222","0","310","44.4","10.3","606","249","144","38.6","447","158","42.72","40"
"38",="5876","上海商銀","44.7","2016","2,173","668","153","","","","4,437","223","","40","16,469","","","22.5","14,839","1,630","29.56","71"
"39",="2327","國巨","496","2016","2,089","76.2","103","47.8","262","314","49","122","20.8","3.06","517","247","36","3.23","287","230","47.34","55"
"40",="2883","開發金","12.2","2016","2,055","283","922","","","","3,750","145","79.5","163","8,922","","","156","7,251","1,671","11.16","57"
"41",="3037","欣興","134","2016","2,042","225","137","55.7","363","430","76.9","439","2.39","9","963","285","193","19.2","502","461","28.27","45"
"42",="2379","瑞昱","397.5","2016","2,039","379","41","45.5","425","480","19.4","31.9","22.4","0.41","555","318","","0.12","327","228","45.18","57"
"43",="2357","華碩","271","2016","2,013","877","852","871","1,807","2,740","629","137","19","29","3,642","1,685","5.4","5.81","1,800","1,842","244.34","45"
"44",="8069","元太","175.5","2016","2,001","85.6","18.7","14.6","113","147","22","53.2","91.8","3.17","334","51.4","1.71","10.1","63.2","271","24.18","66"
"45",="2890","永豐金","16.25","2016","1,973","281","756","","","","5,024","126","32.1","169","16,789","","","76.6","15,450","1,339","12.54","57"
"46",="1605","華新","52.8","2016","1,970","77.3","145","271","241","554","347","205","1.77","24.6","1,142","324","153","10.8","489","653","19.05","34"
"47",="0056","元大高股息","27.76","2016","1,944","","","","","","","","","","","","","","","","",""
"48",="2615","萬海","69","2016","1,936","193","34.8","12.5","268","294","25.7","436","0.28","7.19","763","155","243","12.9","420","343","15.38","47"
"49",="2887","台新金","16","2016","1,916","203","1,133","","","","4,493","185","22","157","15,770","","","33.6","14,281","1,489","14.33","62"
"50",="6415","矽力*-KY","499","2016","1,903","26.8","6.18","13.1","39.7","53.3","7.93","3.87","41.4","1.33","108","7.93","17.6","0.82","26.3","81.9","97.53","83"
"51",="2408","南亞科","59.3","2016","1,837","91","77.4","48.5","188","252","410","679","2.72","17.5","1,370","337","152","8.16","513","856","31.13","77"
"52",="4938","和碩","67.9","2016","1,811","1,087","1,359","1,073","2,493","3,642","15.8","669","14.4","74.9","4,439","2,542","45.2","13.6","2,619","1,820","57.58","36"
"53",="2801","彰銀","16.95","2016","1,796","452","203","","","","3,533","208","4.23","5.31","20,052","","","33.1","18,676","1,375","15.34","67"
"54",="00878","國泰永續高股息","16.92","","1,791","","","","","","","","","","","","","","","","",""
"55",="8454","富邦媒","805","2016","1,759","27.5","7.1","3.12","44.7","57.2","13.5","29.2","0.24","0.87","101","40.7","","2.47","43.3","57.8","41.28","57"
"56",="8046","南電","261","2016","1,686","142","77.4","33.6","228","264","","155","0.07","0.57","428","51.2","12.7","18.1","94","334","51.63","36"
